customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
326,133,9,2616.18,4,2,5,11,Big Spenders
327,171,9,1244.87,3,2,3,8,Regulars
328,19,16,1223.04,5,5,2,12,Loyal
329,304,16,5102.6900000000005,2,5,5,12,At Risk
330,528,12,2174.76,1,4,4,9,At Risk
331,1062,9,2659.99,1,2,5,8,Regulars
332,476,3,224.15,1,1,1,3,Hibernating
333,0,15,1706.51,5,5,3,13,Loyal
334,244,7,473.43,3,1,1,5,Regulars
335,300,14,2257.2,2,5,4,11,At Risk
336,389,14,5309.2,2,5,5,12,At Risk
337,69,11,1493.17,4,3,3,10,Loyal
338,22,6,674.32,5,1,1,7,Regulars
339,350,7,722.44,2,1,1,4,Hibernating
340,188,13,3375.04,3,4,5,12,Big Spenders
341,232,12,1185.04,3,4,2,9,Regulars
342,6,15,2323.07,5,5,4,14,Champions
343,91,15,2887.6099999999997,4,5,5,14,Champions
344,175,11,877.82,3,3,2,8,Regulars
345,65,9,1614.92,5,2,3,10,Regulars
346,21,5,1115.79,5,1,2,8,Regulars
347,174,13,1991.33,3,4,4,11,Big Spenders
348,28,11,1704.2,5,3,3,11,Loyal
349,767,9,513.19,1,2,1,4,Hibernating
350,171,10,948.64,3,3,2,8,Regulars
351,133,10,1083.31,4,3,2,9,Loyal
352,1124,7,540.12,1,1,1,3,Hibernating
353,651,7,1127.42,1,1,2,4,Hibernating
354,142,10,780.69,4,3,1,8,Loyal
355,567,5,210.39000000000001,1,1,1,3,Hibernating
356,9,16,1592.26,5,5,3,13,Loyal
357,474,6,509.51,1,1,1,3,Hibernating
358,354,12,2900.25,2,4,5,11,At Risk
359,418,6,824.9399999999999,2,1,1,4,Hibernating
360,82,10,1338.4699999999998,4,3,3,10,Loyal
361,180,9,1015.87,3,2,2,7,Regulars
362,139,9,1673.6,4,2,3,9,Regulars
363,27,12,1905.56,5,4,4,13,Champions
364,475,9,1997.46,1,2,4,7,Regulars
365,509,11,1273.43,1,3,3,7,Regulars
366,13,6,402.24,5,1,1,7,Regulars
367,621,12,1916.63,1,4,4,9,At Risk
368,36,11,1161.72,5,3,2,10,Loyal
369,295,12,5863.51,2,4,5,11,At Risk
370,36,15,2099.4900000000002,5,5,4,14,Champions
371,124,11,2650.5600000000004,4,3,5,12,Loyal
372,443,12,1932.0800000000002,2,4,4,10,At Risk
373,175,11,1938.89,3,3,4,10,Big Spenders
374,295,14,1866.6499999999999,2,5,4,11,At Risk
375,85,15,1491.1399999999999,4,5,3,12,Loyal
376,262,9,805.28,2,2,1,5,Hibernating
377,93,14,1582.2,4,5,3,12,Loyal
378,107,18,2175.5099999999998,4,5,4,13,Champions
379,110,6,1237.7799999999997,4,1,2,7,Regulars
380,341,17,2057.06,2,5,4,11,At Risk
381,146,12,4688.74,4,4,5,13,Champions
382,477,7,640.14,1,1,1,3,Hibernating
383,1089,4,1242.78,1,1,3,5,Regulars
384,284,13,915.7299999999999,2,4,2,8,At Risk
385,316,7,758.31,2,1,1,4,Hibernating
386,130,12,3241.41,4,4,5,13,Champions
387,592,10,1234.67,1,3,2,6,Regulars
388,119,9,861.76,4,2,2,8,Regulars
389,227,12,602.8100000000001,3,4,1,8,Regulars
390,1265,7,691.94,1,1,1,3,Hibernating
391,312,8,959.59,2,2,2,6,Hibernating
392,0,11,1904.71,5,3,4,12,Loyal
393,514,9,862.93,1,2,2,5,Hibernating
394,81,10,1185.44,4,3,2,9,Loyal
395,621,6,569.97,1,1,1,3,Hibernating
396,345,10,4695.17,2,3,5,10,Regulars
397,13,12,6618.12,5,4,5,14,Champions
398,250,13,1912.6,2,4,4,10,At Risk
399,112,11,1139.96,4,3,2,9,Loyal
400,337,15,1152.34,2,5,2,9,At Risk
401,365,7,453.72,2,1,1,4,Hibernating
402,542,12,1429.89,1,4,3,8,At Risk
403,1236,8,1773.37,1,2,4,7,Regulars
404,93,14,1749.3400000000001,4,5,4,13,Champions
405,276,5,1000.76,2,1,2,5,Hibernating
406,166,7,581.86,3,1,1,5,Regulars
407,540,14,1553.1,1,5,3,9,At Risk
408,247,9,761.3,3,2,1,6,Regulars
409,359,4,392.59000000000003,2,1,1,4,Hibernating
410,31,18,4723.950000000001,5,5,5,15,Champions
411,249,8,918.49,2,2,2,6,Hibernating
412,119,12,1829.63,4,4,4,12,Champions
413,86,8,1538.66,4,2,3,9,Regulars
414,473,9,3068.0,1,2,5,8,Regulars
415,318,6,1202.27,2,1,2,5,Hibernating
416,391,10,1159.17,2,3,2,7,Regulars
417,63,8,1593.99,5,2,3,10,Regulars
418,53,9,2859.6,5,2,5,12,Big Spenders
419,530,5,282.99,1,1,1,3,Hibernating
420,336,7,841.44,2,1,1,4,Hibernating
421,16,18,7385.98,5,5,5,15,Champions
422,93,10,1186.48,4,3,2,9,Loyal
423,35,5,542.9000000000001,5,1,1,7,Regulars
424,411,10,1129.1799999999998,2,3,2,7,Regulars
425,271,9,3606.2,2,2,5,9,Regulars
426,250,12,1301.32,2,4,3,9,At Risk
427,432,9,954.96,2,2,2,6,Hibernating
428,147,11,2372.65,4,3,4,11,Loyal
429,0,7,873.18,5,1,2,8,Regulars
430,32,16,1743.12,5,5,4,14,Champions
431,139,9,473.53,4,2,1,7,Regulars
432,399,12,1762.49,2,4,4,10,At Risk
433,41,17,2035.4899999999998,5,5,4,14,Champions
434,29,6,624.17,5,1,1,7,Regulars
435,36,14,4242.65,5,5,5,15,Champions
436,582,12,1465.58,1,4,3,8,At Risk
437,114,15,1926.9699999999998,4,5,4,13,Champions
438,35,11,1521.46,5,3,3,11,Loyal
439,195,10,1239.34,3,3,2,8,Regulars
440,327,7,522.8599999999999,2,1,1,4,Hibernating
441,715,9,1451.72,1,2,3,6,Regulars
442,152,12,954.25,3,4,2,9,Regulars
443,479,6,356.54,1,1,1,3,Hibernating
444,93,10,1611.3899999999999,4,3,3,10,Loyal
445,91,8,773.36,4,2,1,7,Regulars
446,127,10,855.75,4,3,2,9,Loyal
447,97,10,1776.1299999999999,4,3,4,11,Loyal
448,128,9,3280.98,4,2,5,11,Big Spenders
449,311,8,1661.3600000000001,2,2,3,7,Regulars
450,308,8,2150.71,2,2,4,8,Regulars
451,23,15,2127.64,5,5,4,14,Champions
452,218,4,3351.2299999999996,3,1,5,9,Big Spenders
453,4,11,885.4200000000001,5,3,2,10,Loyal
454,60,12,1482.94,5,4,3,12,Loyal
455,147,15,1392.49,4,5,3,12,Loyal
456,56,8,1198.9,5,2,2,9,Regulars
457,36,8,2921.46,5,2,5,12,Big Spenders
458,319,14,2592.64,2,5,5,12,At Risk
459,130,8,519.92,4,2,1,7,Regulars
460,527,6,1156.4,1,1,2,4,Hibernating
461,724,9,539.21,1,2,1,4,Hibernating
462,127,15,2929.46,4,5,5,14,Champions
463,101,10,1591.4399999999998,4,3,3,10,Loyal
464,792,6,543.79,1,1,1,3,Hibernating
465,161,9,1048.0,3,2,2,7,Regulars
466,400,10,2095.88,2,3,4,9,Regulars
467,261,8,581.37,2,2,1,5,Hibernating
468,1063,9,2891.77,1,2,5,8,Regulars
469,979,9,2471.3599999999997,1,2,4,7,Regulars
470,621,7,538.78,1,1,1,3,Hibernating
471,145,11,2142.04,4,3,4,11,Loyal
472,200,13,2665.65,3,4,5,12,Big Spenders
473,643,9,1013.04,1,2,2,5,Hibernating
474,224,8,3119.66,3,2,5,10,Big Spenders
475,83,10,851.13,4,3,2,9,Loyal
476,473,9,1237.79,1,2,2,5,Hibernating
477,247,5,461.56,3,1,1,5,Regulars
478,160,9,1929.93,3,2,4,9,Big Spenders
479,200,8,2493.19,3,2,4,9,Big Spenders
480,10,10,1836.57,5,3,4,12,Loyal
481,83,10,2518.24,4,3,4,11,Loyal
482,61,13,1970.57,5,4,4,13,Champions
483,798,12,1462.9,1,4,3,8,At Risk
484,392,14,1433.9,2,5,3,10,At Risk
485,133,13,2739.3,4,4,5,13,Champions
486,88,9,1310.8200000000002,4,2,3,9,Regulars
487,32,12,2359.0099999999998,5,4,4,13,Champions
488,31,10,2447.51,5,3,4,12,Loyal
489,77,11,1349.5,4,3,3,10,Loyal
490,301,11,1933.0200000000002,2,3,4,9,Regulars
491,195,8,1717.94,3,2,3,8,Regulars
492,148,11,1450.3,3,3,3,9,Regulars
493,220,13,1580.3799999999999,3,4,3,10,Regulars
494,474,12,2112.01,1,4,4,9,At Risk
495,216,10,763.9300000000001,3,3,1,7,Regulars
496,309,6,746.3699999999999,2,1,1,4,Hibernating
497,450,8,765.64,2,2,1,5,Hibernating
498,309,8,826.94,2,2,1,5,Hibernating
499,317,11,3255.8199999999997,2,3,5,10,Regulars
500,274,7,2237.95,2,1,4,7,Regulars
501,53,7,1106.79,5,1,2,8,Regulars
502,956,5,2315.59,1,1,4,6,Regulars
503,61,11,1132.36,5,3,2,10,Loyal
504,498,7,382.15,1,1,1,3,Hibernating
505,82,10,1866.3500000000001,4,3,4,11,Loyal
506,16,10,1807.12,5,3,4,12,Loyal
507,507,6,928.3,1,1,2,4,Hibernating
508,35,11,1897.4599999999998,5,3,4,12,Loyal
509,63,6,564.6,5,1,1,7,Regulars
510,155,14,3960.75,3,5,5,13,Big Spenders
511,164,12,1534.2399999999998,3,4,3,10,Regulars
512,275,9,941.18,2,2,2,6,Hibernating
513,295,14,1285.69,2,5,3,10,At Risk
514,395,10,1428.25,2,3,3,8,Regulars
515,63,12,1581.08,5,4,3,12,Loyal
516,854,8,671.9,1,2,1,4,Hibernating
517,322,9,1354.05,2,2,3,7,Regulars
518,50,12,1647.6399999999999,5,4,3,12,Loyal
519,12,10,3462.2599999999998,5,3,5,13,Loyal
520,129,8,3281.96,4,2,5,11,Big Spenders
521,0,15,2147.8,5,5,4,14,Champions
522,455,13,1230.04,2,4,2,8,At Risk
523,482,12,2385.2799999999997,1,4,4,9,At Risk
524,31,11,1749.8899999999999,5,3,4,12,Loyal
525,40,12,3308.47,5,4,5,14,Champions
526,23,13,2634.54,5,4,5,14,Champions
527,205,10,680.15,3,3,1,7,Regulars
528,347,11,1206.53,2,3,2,7,Regulars
529,135,7,773.63,4,1,1,6,Regulars
530,116,7,1159.96,4,1,2,7,Regulars
531,793,5,1898.6799999999998,1,1,4,6,Regulars
532,6,13,4861.900000000001,5,4,5,14,Champions
533,667,6,794.72,1,1,1,3,Hibernating
534,89,5,364.13,4,1,1,6,Regulars
535,52,8,723.01,5,2,1,8,Regulars
536,166,15,1327.3200000000002,3,5,3,11,Regulars
537,578,8,495.85999999999996,1,2,1,4,Hibernating
538,8,6,2132.3,5,1,4,10,Big Spenders
539,97,14,2028.16,4,5,4,13,Champions
540,30,12,1981.8400000000001,5,4,4,13,Champions
541,628,14,1382.22,1,5,3,9,At Risk
542,665,12,1514.33,1,4,3,8,At Risk
543,199,12,894.5699999999999,3,4,2,9,Regulars
544,178,15,3937.6499999999996,3,5,5,13,Big Spenders
545,462,10,2644.71,1,3,5,9,Regulars
546,8,7,510.56,5,1,1,7,Regulars
547,106,11,790.51,4,3,1,8,Loyal
548,143,11,935.81,4,3,2,9,Loyal
549,408,14,1129.84,2,5,2,9,At Risk
550,204,14,1415.93,3,5,3,11,Regulars
551,79,12,1895.3400000000001,4,4,4,12,Champions
552,8,7,679.75,5,1,1,7,Regulars
553,110,18,2970.96,4,5,5,14,Champions
554,72,9,2865.39,4,2,5,11,Big Spenders
555,992,5,2357.66,1,1,4,6,Regulars
556,746,11,775.73,1,3,1,5,Regulars
557,269,9,2424.27,2,2,4,8,Regulars
558,866,15,1771.55,1,5,4,10,At Risk
559,2,15,2625.2799999999997,5,5,5,15,Champions
560,6,16,2740.82,5,5,5,15,Champions
561,106,14,2044.0900000000001,4,5,4,13,Champions
