Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,MedianDaysBetweenOrders,AvgOrderValue,Churn
591,3,578.54,3,4,4,11,1062.0,192.84666666666666,1
1703,2,430.68000000000006,2,3,4,9,1060.0,215.34000000000003,1
891,1,13.31,3,1,1,5,727.5,13.31,1
1166,1,78.9,3,1,1,5,727.5,78.9,1
933,1,137.2,3,1,2,6,727.5,137.2,1
1253,1,263.83,2,1,3,6,727.5,263.83,1
271,2,81.09,4,3,1,8,2139.0,40.545,1
949,1,92.01,3,1,2,6,727.5,92.01,1
861,2,216.08,3,3,3,9,76.0,108.04,1
2443,1,110.6,1,1,2,4,727.5,110.6,1
274,1,47.13,4,1,1,6,727.5,47.13,1
1759,2,219.64,2,3,3,8,722.0,109.82,1
2210,1,40.01,1,1,1,3,727.5,40.01,1
2207,1,49.31,1,1,1,3,727.5,49.31,1
1336,1,88.0,2,1,2,5,727.5,88.0,1
1111,1,150.0,3,1,2,6,727.5,150.0,1
1828,1,85.43,1,1,2,4,727.5,85.43,1
574,2,172.6,3,3,3,9,208.0,86.3,1
18,2,186.76999999999998,4,3,3,10,2669.0,93.38499999999999,0
975,2,411.01,3,3,4,10,474.0,205.505,1
275,1,434.56,4,1,4,9,727.5,434.56,1
2056,1,321.61,1,1,4,6,727.5,321.61,1
1771,1,306.07,2,1,4,7,727.5,306.07,1
279,2,142.76,4,3,2,9,2237.0,71.38,1
1114,1,40.56,3,1,1,5,727.5,40.56,1
1406,1,108.99,2,1,2,5,727.5,108.99,1
655,3,395.76,3,4,4,11,885.0,131.92,1
1095,3,493.03,3,4,4,11,369.0,164.34333333333333,1
1585,1,234.71,2,1,3,6,727.5,234.71,1
1162,2,71.94,3,3,1,7,973.0,35.97,1
1157,1,79.4,3,1,1,5,727.5,79.4,1
2122,1,64.54,1,1,1,3,727.5,64.54,1
1071,1,160.03,3,1,2,6,727.5,160.03,1
887,1,75.33,3,1,1,5,727.5,75.33,1
2605,1,85.94,1,1,2,4,727.5,85.94,1
1466,2,237.08999999999997,2,3,3,8,947.0,118.54499999999999,1
681,1,55.67,3,1,1,5,727.5,55.67,1
207,1,43.95,4,1,1,6,727.5,43.95,1
1049,3,363.08000000000004,3,4,4,11,523.0,121.02666666666669,1
241,2,446.34,4,3,4,11,914.0,223.17,1
513,2,206.56,4,3,3,10,1567.0,103.28,1
288,2,290.65999999999997,4,3,3,10,289.0,145.32999999999998,1
754,2,212.13,3,3,3,9,448.0,106.065,1
1437,2,403.22999999999996,2,3,4,9,279.0,201.61499999999998,1
1161,2,425.29,3,3,4,10,783.0,212.645,1
1940,2,66.32,1,3,1,5,615.0,33.16,1
1387,1,46.23,2,1,1,4,727.5,46.23,1
281,1,55.63,4,1,1,6,727.5,55.63,1
64,2,317.74,4,3,4,11,2071.0,158.87,0
197,1,23.84,4,1,1,6,727.5,23.84,1
2726,1,41.8,1,1,1,3,727.5,41.8,1
1579,2,283.72,2,3,3,8,995.0,141.86,1
1622,1,109.72,2,1,2,5,727.5,109.72,1
2435,1,51.62,1,1,1,3,727.5,51.62,1
276,3,334.84000000000003,4,4,4,12,1058.0,111.61333333333334,1
567,1,230.02,4,1,3,8,727.5,230.02,1
1774,1,128.09,2,1,2,5,727.5,128.09,1
196,2,121.6,4,3,2,9,1559.0,60.8,1
1411,1,43.03,2,1,1,4,727.5,43.03,1
521,1,374.63,4,1,4,9,727.5,374.63,1
1610,2,75.09,2,3,1,6,561.0,37.545,1
2275,1,406.81,1,1,4,6,727.5,406.81,1
1690,1,80.04,2,1,1,4,727.5,80.04,1
1344,2,257.08,2,3,3,8,407.0,128.54,1
1825,1,159.41,1,1,2,4,727.5,159.41,1
2032,1,75.85,1,1,1,3,727.5,75.85,1
1938,2,268.35,1,3,3,7,109.0,134.175,1
1505,1,66.81,2,1,1,4,727.5,66.81,1
22,1,248.05,4,1,3,8,727.5,248.05,0
326,1,43.76,4,1,1,6,727.5,43.76,1
1918,1,40.23,1,1,1,3,727.5,40.23,1
2790,1,27.77,1,1,1,3,727.5,27.77,1
961,2,212.57,3,3,3,9,1447.0,106.285,1
563,2,188.91,4,3,3,10,934.0,94.455,1
880,1,86.28,3,1,2,6,727.5,86.28,1
452,2,288.14,4,3,3,10,64.0,144.07,1
1457,1,43.23,2,1,1,4,727.5,43.23,1
183,1,31.78,4,1,1,6,727.5,31.78,1
439,1,73.72,4,1,1,6,727.5,73.72,1
1287,1,53.81,2,1,1,4,727.5,53.81,1
1560,1,64.77,2,1,1,4,727.5,64.77,1
1274,1,97.18,2,1,2,5,727.5,97.18,1
604,1,329.07,3,1,4,8,727.5,329.07,1
1925,1,147.88,1,1,2,4,727.5,147.88,1
2385,1,182.98,1,1,3,5,727.5,182.98,1
156,1,254.0,4,1,3,8,727.5,254.0,0
2086,2,293.61,1,3,3,7,36.0,146.805,1
706,1,102.61,3,1,2,6,727.5,102.61,1
788,4,501.78999999999996,3,4,4,11,462.0,125.44749999999999,1
2499,1,159.9,1,1,2,4,727.5,159.9,1
257,1,478.61,4,1,4,9,727.5,478.61,1
1300,2,442.03999999999996,2,3,4,9,477.0,221.01999999999998,1
326,1,356.53,4,1,4,9,727.5,356.53,1
1608,1,236.55,2,1,3,6,727.5,236.55,1
787,2,189.42999999999998,3,3,3,9,1810.0,94.71499999999999,1
146,2,253.25,4,3,3,10,995.0,126.625,0
2334,1,42.93,1,1,1,3,727.5,42.93,1
1126,1,246.37,3,1,3,7,727.5,246.37,1
1441,1,168.52,2,1,2,5,727.5,168.52,1
1499,1,135.95,2,1,2,5,727.5,135.95,1
262,2,180.49,4,3,3,10,2048.0,90.245,1
1080,1,162.24,3,1,2,6,727.5,162.24,1
2168,1,95.6,1,1,2,4,727.5,95.6,1
972,2,147.03,3,3,2,8,531.0,73.515,1
2292,1,350.5,1,1,4,6,727.5,350.5,1
2507,1,95.56,1,1,2,4,727.5,95.56,1
974,2,265.59000000000003,3,3,3,9,193.0,132.79500000000002,1
1258,1,39.47,2,1,1,4,727.5,39.47,1
1289,2,219.85,2,3,3,8,1436.0,109.925,1
756,1,151.82,3,1,2,6,727.5,151.82,1
1666,1,151.12,2,1,2,5,727.5,151.12,1
1187,1,127.39,3,1,2,6,727.5,127.39,1
236,1,52.31,4,1,1,6,727.5,52.31,1
496,1,111.48,4,1,2,7,727.5,111.48,1
1793,1,228.39,2,1,3,6,727.5,228.39,1
2809,1,99.68,1,1,2,4,727.5,99.68,1
689,3,1154.1599999999999,3,4,4,11,433.0,384.71999999999997,1
1469,2,477.74,2,3,4,9,259.0,238.87,1
1288,2,204.18,2,3,3,8,1149.0,102.09,1
2332,1,28.5,1,1,1,3,727.5,28.5,1
1916,1,95.22,1,1,2,4,727.5,95.22,1
1990,1,55.62,1,1,1,3,727.5,55.62,1
2587,1,142.04,1,1,2,4,727.5,142.04,1
2515,1,92.58,1,1,2,4,727.5,92.58,1
2806,1,97.07,1,1,2,4,727.5,97.07,1
2653,1,73.15,1,1,1,3,727.5,73.15,1
1637,1,44.03,2,1,1,4,727.5,44.03,1
2563,1,369.34,1,1,4,6,727.5,369.34,1
1017,1,53.97,3,1,1,5,727.5,53.97,1
2223,1,146.91,1,1,2,4,727.5,146.91,1
150,1,193.03,4,1,3,8,727.5,193.03,0
101,1,141.62,4,1,2,7,727.5,141.62,0
2126,1,30.94,1,1,1,3,727.5,30.94,1
1764,1,162.67,2,1,2,5,727.5,162.67,1
1428,2,283.96,2,3,3,8,1041.0,141.98,1
2103,1,558.44,1,1,4,6,727.5,558.44,1
532,2,356.38,4,3,4,11,1161.0,178.19,1
1554,1,68.53,2,1,1,4,727.5,68.53,1
2515,2,404.28999999999996,1,3,4,8,298.0,202.14499999999998,1
139,2,326.39,4,3,4,11,944.0,163.195,0
256,2,735.33,4,3,4,11,1832.0,367.665,1
1305,1,403.78,2,1,4,7,727.5,403.78,1
2303,1,93.02,1,1,2,4,727.5,93.02,1
909,2,68.75,3,3,1,7,728.0,34.375,1
2669,1,39.77,1,1,1,3,727.5,39.77,1
1802,1,128.76,2,1,2,5,727.5,128.76,1
1176,1,154.73,3,1,2,6,727.5,154.73,1
2183,1,68.36,1,1,1,3,727.5,68.36,1
439,2,98.3,4,3,2,9,1892.0,49.15,1
276,1,248.69,4,1,3,8,727.5,248.69,1
19,2,349.84000000000003,4,3,4,11,1576.0,174.92000000000002,0
995,2,230.45,3,3,3,9,1189.0,115.225,1
1697,1,98.79,2,1,2,5,727.5,98.79,1
2658,1,194.61,1,1,3,5,727.5,194.61,1
2242,1,231.88,1,1,3,5,727.5,231.88,1
607,1,75.84,3,1,1,5,727.5,75.84,1
2083,1,74.37,1,1,1,3,727.5,74.37,1
364,2,208.70999999999998,4,3,3,10,54.0,104.35499999999999,1
1269,2,390.23,2,3,4,9,849.0,195.115,1
2166,1,96.25,1,1,2,4,727.5,96.25,1
1207,1,14.07,3,1,1,5,727.5,14.07,1
1592,1,260.17,2,1,3,6,727.5,260.17,1
1154,1,227.71,3,1,3,7,727.5,227.71,1
550,2,843.4599999999999,4,3,4,11,1248.0,421.72999999999996,1
1655,1,160.21,2,1,2,5,727.5,160.21,1
979,1,117.19,3,1,2,6,727.5,117.19,1
1246,2,368.05,2,3,4,9,406.0,184.025,1
844,3,482.93,3,4,4,11,919.0,160.97666666666666,1
2029,1,66.38,1,1,1,3,727.5,66.38,1
2794,1,57.95,1,1,1,3,727.5,57.95,1
2543,1,69.22,1,1,1,3,727.5,69.22,1
2596,1,199.24,1,1,3,5,727.5,199.24,1
2521,1,53.4,1,1,1,3,727.5,53.4,1
910,1,119.12,3,1,2,6,727.5,119.12,1
106,2,270.98,4,3,3,10,1420.0,135.49,0
1555,1,436.12,2,1,4,7,727.5,436.12,1
693,1,90.53,3,1,2,6,727.5,90.53,1
1427,1,250.62,2,1,3,6,727.5,250.62,1
1807,1,36.97,2,1,1,4,727.5,36.97,1
646,1,27.06,3,1,1,5,727.5,27.06,1
1105,1,43.7,3,1,1,5,727.5,43.7,1
1647,1,56.73,2,1,1,4,727.5,56.73,1
1334,1,39.92,2,1,1,4,727.5,39.92,1
2192,1,171.04,1,1,3,5,727.5,171.04,1
1561,1,63.09,2,1,1,4,727.5,63.09,1
733,1,124.51,3,1,2,6,727.5,124.51,1
275,3,355.06,4,4,4,12,621.0,118.35333333333334,1
2627,1,118.52,1,1,2,4,727.5,118.52,1
1432,1,270.89,2,1,3,6,727.5,270.89,1
495,1,161.88,4,1,2,7,727.5,161.88,1
1276,1,91.71,2,1,2,5,727.5,91.71,1
197,3,607.18,4,4,4,12,1249.0,202.39333333333332,1
1554,1,141.59,2,1,2,5,727.5,141.59,1
2625,1,237.89,1,1,3,5,727.5,237.89,1
878,1,189.25,3,1,3,7,727.5,189.25,1
1788,1,131.4,2,1,2,5,727.5,131.4,1
2071,1,272.42,1,1,3,5,727.5,272.42,1
169,2,382.78000000000003,4,3,4,11,441.0,191.39000000000001,0
2468,1,27.43,1,1,1,3,727.5,27.43,1
1253,3,231.38,2,4,3,9,258.0,77.12666666666667,1
421,2,303.53000000000003,4,3,3,10,609.0,151.76500000000001,1
574,3,357.81,3,4,4,11,875.0,119.27,1
124,2,448.83000000000004,4,3,4,11,331.0,224.41500000000002,0
1329,1,60.25,2,1,1,4,727.5,60.25,1
2269,1,577.41,1,1,4,6,727.5,577.41,1
644,2,581.86,3,3,4,10,114.0,290.93,1
703,1,212.07,3,1,3,7,727.5,212.07,1
2191,1,294.58,1,1,3,5,727.5,294.58,1
1355,3,1097.48,2,4,4,10,61.0,365.82666666666665,1
2014,2,192.14999999999998,1,3,3,7,186.0,96.07499999999999,1
1463,2,310.32,2,3,4,9,293.0,155.16,1
1590,1,84.82,2,1,2,5,727.5,84.82,1
1760,1,311.92,2,1,4,7,727.5,311.92,1
883,1,474.19,3,1,4,8,727.5,474.19,1
1505,1,133.86,2,1,2,5,727.5,133.86,1
835,2,78.99000000000001,3,3,1,7,1482.0,39.495000000000005,1
1051,1,28.17,3,1,1,5,727.5,28.17,1
1931,1,375.63,1,1,4,6,727.5,375.63,1
916,2,443.27,3,3,4,10,237.0,221.635,1
559,1,120.97,4,1,2,7,727.5,120.97,1
117,2,250.15,4,3,3,10,1758.0,125.075,0
537,4,843.45,4,4,4,12,352.0,210.8625,1
669,2,196.62,3,3,3,9,660.0,98.31,1
2190,1,199.08,1,1,3,5,727.5,199.08,1
1158,1,69.04,3,1,1,5,727.5,69.04,1
36,1,175.83,4,1,3,8,727.5,175.83,0
749,1,476.89,3,1,4,8,727.5,476.89,1
2080,1,83.62,1,1,1,3,727.5,83.62,1
957,1,123.19,3,1,2,6,727.5,123.19,1
2771,1,152.29,1,1,2,4,727.5,152.29,1
2157,1,57.32,1,1,1,3,727.5,57.32,1
1051,1,105.1,3,1,2,6,727.5,105.1,1
1186,1,114.82,3,1,2,6,727.5,114.82,1
1721,1,47.09,2,1,1,4,727.5,47.09,1
1982,2,182.07999999999998,1,3,3,7,536.0,91.03999999999999,1
1631,1,457.69,2,1,4,7,727.5,457.69,1
843,2,252.23,3,3,3,9,795.0,126.115,1
2115,1,79.28,1,1,1,3,727.5,79.28,1
1623,1,39.43,2,1,1,4,727.5,39.43,1
1478,3,342.09999999999997,2,4,4,10,504.0,114.03333333333332,1
899,2,93.58,3,3,2,8,696.0,46.79,1
58,1,82.17,4,1,1,6,727.5,82.17,0
1887,1,262.93,1,1,3,5,727.5,262.93,1
1057,1,106.85,3,1,2,6,727.5,106.85,1
1812,1,397.47,2,1,4,7,727.5,397.47,1
392,1,92.73,4,1,2,7,727.5,92.73,1
614,1,290.74,3,1,3,7,727.5,290.74,1
355,3,247.12,4,4,3,11,878.0,82.37333333333333,1
1636,1,145.91,2,1,2,5,727.5,145.91,1
1629,1,216.11,2,1,3,6,727.5,216.11,1
1661,1,91.41,2,1,2,5,727.5,91.41,1
1169,1,234.27,3,1,3,7,727.5,234.27,1
2269,1,112.87,1,1,2,4,727.5,112.87,1
3,1,327.18,4,1,4,9,727.5,327.18,0
2284,1,59.59,1,1,1,3,727.5,59.59,1
1497,1,187.02,2,1,3,6,727.5,187.02,1
1585,1,135.57,2,1,2,5,727.5,135.57,1
1304,1,279.37,2,1,3,6,727.5,279.37,1
106,2,125.22,4,3,2,9,118.0,62.61,0
368,2,296.90000000000003,4,3,3,10,2297.0,148.45000000000002,1
1191,1,59.18,3,1,1,5,727.5,59.18,1
2636,1,76.71,1,1,1,3,727.5,76.71,1
255,1,109.63,4,1,2,7,727.5,109.63,1
1609,1,56.93,2,1,1,4,727.5,56.93,1
126,1,84.66,4,1,2,7,727.5,84.66,0
1588,1,48.49,2,1,1,4,727.5,48.49,1
2361,1,214.44,1,1,3,5,727.5,214.44,1
571,1,54.16,3,1,1,5,727.5,54.16,1
170,1,61.27,4,1,1,6,727.5,61.27,0
1406,1,82.91,2,1,1,4,727.5,82.91,1
1817,1,123.73,2,1,2,5,727.5,123.73,1
1770,1,134.45,2,1,2,5,727.5,134.45,1
2134,1,45.83,1,1,1,3,727.5,45.83,1
1664,1,292.71,2,1,3,6,727.5,292.71,1
1759,1,67.11,2,1,1,4,727.5,67.11,1
778,1,87.33,3,1,2,6,727.5,87.33,1
1693,1,30.61,2,1,1,4,727.5,30.61,1
2375,1,71.26,1,1,1,3,727.5,71.26,1
370,3,1060.35,4,4,4,12,962.0,353.45,1
61,1,57.18,4,1,1,6,727.5,57.18,0
1127,1,112.11,3,1,2,6,727.5,112.11,1
1464,3,838.8299999999999,2,4,4,10,670.0,279.60999999999996,1
367,2,97.56,4,3,2,9,360.0,48.78,1
1088,3,510.4,3,4,4,11,851.0,170.13333333333333,1
2768,1,126.2,1,1,2,4,727.5,126.2,1
1500,2,459.70000000000005,2,3,4,9,397.0,229.85000000000002,1
1143,1,92.57,3,1,2,6,727.5,92.57,1
2337,1,75.25,1,1,1,3,727.5,75.25,1
287,1,301.68,4,1,3,8,727.5,301.68,1
1665,1,19.67,2,1,1,4,727.5,19.67,1
907,1,136.68,3,1,2,6,727.5,136.68,1
2262,1,53.39,1,1,1,3,727.5,53.39,1
2324,1,633.05,1,1,4,6,727.5,633.05,1
1088,2,290.43,3,3,3,9,625.0,145.215,1
905,2,259.40000000000003,3,3,3,9,886.0,129.70000000000002,1
739,3,486.4,3,4,4,11,870.0,162.13333333333333,1
1685,1,80.87,2,1,1,4,727.5,80.87,1
319,2,142.07999999999998,4,3,2,9,682.0,71.03999999999999,1
288,2,249.54000000000002,4,3,3,10,1497.0,124.77000000000001,1
829,1,41.11,3,1,1,5,727.5,41.11,1
18,3,912.0699999999999,4,4,4,12,886.0,304.0233333333333,0
720,1,79.57,3,1,1,5,727.5,79.57,1
580,4,620.44,3,4,4,11,448.0,155.11,1
647,2,228.1,3,3,3,9,1040.0,114.05,1
350,1,124.57,4,1,2,7,727.5,124.57,1
1404,2,158.67,2,3,2,7,287.0,79.335,1
1758,1,20.96,2,1,1,4,727.5,20.96,1
1851,1,106.93,1,1,2,4,727.5,106.93,1
2300,1,137.57,1,1,2,4,727.5,137.57,1
1154,1,64.32,3,1,1,5,727.5,64.32,1
1263,2,215.16,2,3,3,8,232.0,107.58,1
1217,1,279.12,3,1,3,7,727.5,279.12,1
2260,1,206.35,1,1,3,5,727.5,206.35,1
2453,1,11.81,1,1,1,3,727.5,11.81,1
1647,1,88.11,2,1,2,5,727.5,88.11,1
1746,2,128.66,2,3,2,7,33.0,64.33,1
2706,1,255.09,1,1,3,5,727.5,255.09,1
1196,2,457.57,3,3,4,10,1041.0,228.785,1
1645,1,157.46,2,1,2,5,727.5,157.46,1
499,1,209.43,4,1,3,8,727.5,209.43,1
836,1,85.77,3,1,2,6,727.5,85.77,1
1834,1,45.94,1,1,1,3,727.5,45.94,1
315,3,448.45000000000005,4,4,4,12,887.0,149.48333333333335,1
1743,2,134.49,2,3,2,7,146.0,67.245,1
1252,1,243.6,2,1,3,6,727.5,243.6,1
1454,1,143.85,2,1,2,5,727.5,143.85,1
1439,1,287.35,2,1,3,6,727.5,287.35,1
1334,1,61.4,2,1,1,4,727.5,61.4,1
608,2,196.31,3,3,3,9,1039.0,98.155,1
2280,1,418.53,1,1,4,6,727.5,418.53,1
1343,2,143.03,2,3,2,7,311.0,71.515,1
2058,1,474.54,1,1,4,6,727.5,474.54,1
714,1,204.65,3,1,3,7,727.5,204.65,1
299,2,404.34,4,3,4,11,1304.0,202.17,1
1705,1,42.25,2,1,1,4,727.5,42.25,1
1604,3,407.63,2,4,4,10,422.0,135.87666666666667,1
1657,2,214.45,2,3,3,8,463.0,107.225,1
537,1,55.91,4,1,1,6,727.5,55.91,1
758,2,140.29,3,3,2,8,1042.0,70.145,1
1027,2,636.03,3,3,4,10,435.0,318.015,1
1926,2,78.97,1,3,1,5,218.0,39.485,1
204,3,395.16,4,4,4,12,1204.0,131.72,1
832,1,661.71,3,1,4,8,727.5,661.71,1
2253,1,147.3,1,1,2,4,727.5,147.3,1
2687,1,40.15,1,1,1,3,727.5,40.15,1
714,1,224.96,3,1,3,7,727.5,224.96,1
2771,1,153.16,1,1,2,4,727.5,153.16,1
1737,1,58.72,2,1,1,4,727.5,58.72,1
2100,1,151.42,1,1,2,4,727.5,151.42,1
231,3,164.83999999999997,4,4,2,10,1114.0,54.94666666666666,1
1111,2,734.67,3,3,4,10,651.0,367.335,1
1525,1,199.17,2,1,3,6,727.5,199.17,1
800,1,225.58,3,1,3,7,727.5,225.58,1
17,2,370.16,4,3,4,11,1023.0,185.08,0
258,1,77.38,4,1,1,6,727.5,77.38,1
1266,1,126.89,2,1,2,5,727.5,126.89,1
309,1,157.98,4,1,2,7,727.5,157.98,1
2008,2,337.54999999999995,1,3,4,8,414.0,168.77499999999998,1
105,2,45.22,4,3,1,8,467.0,22.61,0
2314,1,123.99,1,1,2,4,727.5,123.99,1
331,1,153.24,4,1,2,7,727.5,153.24,1
264,3,472.89,4,4,4,12,547.0,157.63,1
2129,1,66.25,1,1,1,3,727.5,66.25,1
2140,1,143.39,1,1,2,4,727.5,143.39,1
680,1,80.05,3,1,1,5,727.5,80.05,1
749,1,104.47,3,1,2,6,727.5,104.47,1
1873,2,107.3,1,3,2,6,556.0,53.65,1
461,1,31.54,4,1,1,6,727.5,31.54,1
1708,1,1908.96,2,1,4,7,727.5,1908.96,1
183,1,98.38,4,1,2,7,727.5,98.38,1
1597,1,218.27,2,1,3,6,727.5,218.27,1
2655,1,254.04,1,1,3,5,727.5,254.04,1
1085,1,142.9,3,1,2,6,727.5,142.9,1
396,2,528.4300000000001,4,3,4,11,485.0,264.21500000000003,1
300,3,213.04000000000002,4,4,3,11,886.0,71.01333333333334,1
2819,1,70.93,1,1,1,3,727.5,70.93,1
2377,1,45.4,1,1,1,3,727.5,45.4,1
362,2,110.78,4,3,2,9,2355.0,55.39,1
2657,1,92.92,1,1,2,4,727.5,92.92,1
64,2,342.99,4,3,4,11,1672.0,171.495,0
892,2,518.46,3,3,4,10,678.0,259.23,1
2294,1,168.52,1,1,2,4,727.5,168.52,1
484,1,184.58,4,1,3,8,727.5,184.58,1
1360,1,108.13,2,1,2,5,727.5,108.13,1
1572,1,16.88,2,1,1,4,727.5,16.88,1
1473,1,361.03,2,1,4,7,727.5,361.03,1
1308,1,39.91,2,1,1,4,727.5,39.91,1
1060,1,49.16,3,1,1,5,727.5,49.16,1
748,1,127.0,3,1,2,6,727.5,127.0,1
112,1,350.72,4,1,4,9,727.5,350.72,0
1644,2,364.22,2,3,4,9,28.0,182.11,1
138,2,73.14,4,3,1,8,561.0,36.57,0
1387,1,140.36,2,1,2,5,727.5,140.36,1
1120,1,50.59,3,1,1,5,727.5,50.59,1
922,2,541.11,3,3,4,10,911.0,270.555,1
2368,1,206.72,1,1,3,5,727.5,206.72,1
1505,2,174.19,2,3,3,8,689.0,87.095,1
1647,2,227.43,2,3,3,8,846.0,113.715,1
1420,1,177.29,2,1,3,6,727.5,177.29,1
1538,1,458.69,2,1,4,7,727.5,458.69,1
2407,1,34.22,1,1,1,3,727.5,34.22,1
1674,1,144.87,2,1,2,5,727.5,144.87,1
1890,1,130.28,1,1,2,4,727.5,130.28,1
702,1,105.45,3,1,2,6,727.5,105.45,1
2359,1,260.38,1,1,3,5,727.5,260.38,1
1808,1,263.05,2,1,3,6,727.5,263.05,1
1278,1,58.72,2,1,1,4,727.5,58.72,1
992,1,104.67,3,1,2,6,727.5,104.67,1
1882,2,302.37,1,3,3,7,634.0,151.185,1
1448,1,102.12,2,1,2,5,727.5,102.12,1
963,2,445.16,3,3,4,10,700.0,222.58,1
2440,1,64.43,1,1,1,3,727.5,64.43,1
1585,1,103.58,2,1,2,5,727.5,103.58,1
714,2,183.61,3,3,3,9,939.0,91.805,1
2589,1,32.82,1,1,1,3,727.5,32.82,1
335,1,109.79,4,1,2,7,727.5,109.79,1
74,1,184.26,4,1,3,8,727.5,184.26,0
1711,2,989.6800000000001,2,3,4,9,967.0,494.84000000000003,1
1938,1,45.24,1,1,1,3,727.5,45.24,1
2489,1,70.6,1,1,1,3,727.5,70.6,1
469,2,248.13,4,3,3,10,1921.0,124.065,1
2396,1,42.8,1,1,1,3,727.5,42.8,1
2340,1,194.61,1,1,3,5,727.5,194.61,1
361,3,366.44,4,4,4,12,701.0,122.14666666666666,1
2705,1,269.6,1,1,3,5,727.5,269.6,1
551,2,288.54,4,3,3,10,476.0,144.27,1
1772,1,158.97,2,1,2,5,727.5,158.97,1
27,1,101.51,4,1,2,7,727.5,101.51,0
1514,2,86.2,2,3,2,7,1200.0,43.1,1
1652,1,191.3,2,1,3,6,727.5,191.3,1
2461,1,286.0,1,1,3,5,727.5,286.0,1
1506,2,157.31,2,3,2,7,120.0,78.655,1
1650,1,239.67,2,1,3,6,727.5,239.67,1
795,1,278.34,3,1,3,7,727.5,278.34,1
379,2,432.54999999999995,4,3,4,11,2416.0,216.27499999999998,1
2500,1,41.58,1,1,1,3,727.5,41.58,1
1788,1,86.34,2,1,2,5,727.5,86.34,1
121,1,317.19,4,1,4,9,727.5,317.19,0
1998,1,176.41,1,1,3,5,727.5,176.41,1
2464,1,207.24,1,1,3,5,727.5,207.24,1
