customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,last_order_date,Churn,MedianDaysBetweenOrders,AvgOrderValue
33.0,1945,1,307.14,1,1,4,6,114,Potential Loyalist,2020-06-04 10:08:00,1,,307.14
34.0,180,2,239.51,4,3,3,10,433,Champions,2025-04-04 05:32:00,1,2458.0,119.755
35.0,2462,1,102.96,1,1,2,4,112,At Risk,2019-01-04 14:16:00,1,,102.96
38.0,523,2,598.8499999999999,4,3,4,11,434,Champions,2024-04-26 05:21:00,1,2304.0,299.42499999999995
40.0,1524,3,1031.66,2,4,4,10,244,Champions,2021-07-30 14:35:00,1,215.0,343.8866666666667
41.0,1602,1,672.95,2,1,4,7,214,Potential Loyalist,2021-05-13 14:14:00,1,,672.95
45.0,2428,1,133.14,1,1,2,4,112,At Risk,2019-02-07 14:53:00,1,,133.14
48.0,1961,1,137.7,1,1,2,4,112,At Risk,2020-05-19 12:08:00,1,,137.7
50.0,49,1,46.24,4,1,1,6,411,Potential Loyalist,2025-08-13 04:31:00,0,,46.24
51.0,1561,1,33.12,2,1,1,4,211,At Risk,2021-06-23 22:25:00,1,,33.12
52.0,2045,2,338.59,1,3,4,8,134,Loyal Customers,2020-02-25 20:05:00,1,726.0,169.295
53.0,469,2,172.18,4,3,3,10,433,Champions,2024-06-19 03:11:00,1,1265.0,86.09
54.0,2594,2,235.68,1,3,3,7,133,Potential Loyalist,2018-08-25 23:58:00,1,151.0,117.84
55.0,67,1,242.92,4,1,3,8,413,Loyal Customers,2025-07-26 17:02:00,0,,242.92
57.0,1786,2,254.05,2,3,3,8,233,Loyal Customers,2020-11-10 21:31:00,1,795.0,127.025
59.0,289,2,151.23000000000002,4,3,2,9,432,Loyal Customers,2024-12-16 05:41:00,1,1077.0,75.61500000000001
61.0,2791,1,66.42,1,1,1,3,111,At Risk,2018-02-09 11:58:00,1,,66.42
62.0,2742,1,380.25,1,1,4,6,114,Potential Loyalist,2018-03-30 17:13:00,1,,380.25
67.0,800,1,40.14,3,1,1,5,311,Potential Loyalist,2023-07-24 17:59:00,1,,40.14
72.0,2812,1,99.59,1,1,2,4,112,At Risk,2018-01-19 02:45:00,1,,99.59
73.0,695,3,494.09000000000003,3,4,4,11,344,Champions,2023-11-06 10:05:00,1,860.0,164.6966666666667
74.0,565,2,628.1,4,3,4,11,434,Champions,2024-03-15 20:52:00,1,894.0,314.05
75.0,1976,1,261.55,1,1,3,5,113,Potential Loyalist,2020-05-04 22:13:00,1,,261.55
76.0,861,1,62.88,3,1,1,5,311,Potential Loyalist,2023-05-24 20:38:00,1,,62.88
77.0,1693,2,464.79,2,3,4,9,234,Loyal Customers,2021-02-11 11:45:00,1,691.0,232.395
78.0,2653,1,53.69,1,1,1,3,111,At Risk,2018-06-27 12:14:00,1,,53.69
79.0,82,2,346.1,4,3,4,11,434,Champions,2025-07-11 21:29:00,0,1319.0,173.05
80.0,199,2,216.04,4,3,3,10,433,Champions,2025-03-16 16:05:00,1,210.0,108.02
82.0,2671,1,325.16,1,1,4,6,114,Potential Loyalist,2018-06-09 22:29:00,1,,325.16
84.0,656,1,130.45,3,1,2,6,312,Potential Loyalist,2023-12-15 13:03:00,1,,130.45
85.0,1881,1,459.0,1,1,4,6,114,Potential Loyalist,2020-08-07 02:08:00,1,,459.0
86.0,169,2,603.14,4,3,4,11,434,Champions,2025-04-16 00:26:00,0,2031.0,301.57
87.0,2380,1,44.86,1,1,1,3,111,At Risk,2019-03-27 02:26:00,1,,44.86
88.0,1336,1,309.9,2,1,4,7,214,Potential Loyalist,2022-02-03 10:28:00,1,,309.9
89.0,1238,1,157.44,2,1,2,5,212,Potential Loyalist,2022-05-12 13:41:00,1,,157.44
90.0,176,2,80.72,4,3,1,8,431,Loyal Customers,2025-04-08 14:29:00,0,2455.0,40.36
93.0,1722,1,128.89,2,1,2,5,212,Potential Loyalist,2021-01-13 09:47:00,1,,128.89
94.0,2504,1,70.42,1,1,1,3,111,At Risk,2018-11-23 09:16:00,1,,70.42
95.0,591,3,578.54,3,4,4,11,344,Champions,2024-02-18 18:05:00,1,1062.0,192.84666666666666
96.0,1703,2,430.68000000000006,2,3,4,9,234,Loyal Customers,2021-02-01 20:25:00,1,1060.0,215.34000000000003
98.0,891,1,13.31,3,1,1,5,311,Potential Loyalist,2023-04-24 10:44:00,1,,13.31
99.0,1166,1,78.9,3,1,1,5,311,Potential Loyalist,2022-07-23 12:13:00,1,,78.9
100.0,933,1,137.2,3,1,2,6,312,Potential Loyalist,2023-03-13 06:54:00,1,,137.2
101.0,1253,1,263.83,2,1,3,6,213,Potential Loyalist,2022-04-28 00:22:00,1,,263.83
103.0,271,2,81.09,4,3,1,8,431,Loyal Customers,2025-01-03 03:55:00,1,2139.0,40.545
104.0,949,1,92.01,3,1,2,6,312,Potential Loyalist,2023-02-25 17:56:00,1,,92.01
105.0,861,2,216.08,3,3,3,9,333,Loyal Customers,2023-05-24 13:17:00,1,76.0,108.04
108.0,2443,1,110.6,1,1,2,4,112,At Risk,2019-01-23 09:27:00,1,,110.6
109.0,274,1,47.13,4,1,1,6,411,Potential Loyalist,2024-12-31 20:53:00,1,,47.13
113.0,1759,2,219.64,2,3,3,8,233,Loyal Customers,2020-12-07 03:16:00,1,722.0,109.82
116.0,2210,1,40.01,1,1,1,3,111,At Risk,2019-09-13 15:53:00,1,,40.01
117.0,2207,1,49.31,1,1,1,3,111,At Risk,2019-09-16 19:30:00,1,,49.31
118.0,1336,1,88.0,2,1,2,5,212,Potential Loyalist,2022-02-03 23:19:00,1,,88.0
119.0,1111,1,150.0,3,1,2,6,312,Potential Loyalist,2022-09-16 19:27:00,1,,150.0
121.0,1828,1,85.43,1,1,2,4,112,At Risk,2020-09-29 13:20:00,1,,85.43
122.0,574,2,172.6,3,3,3,9,333,Loyal Customers,2024-03-06 16:50:00,1,208.0,86.3
125.0,18,2,186.76999999999998,4,3,3,10,433,Champions,2025-09-13 14:18:00,0,2669.0,93.38499999999999
128.0,975,2,411.01,3,3,4,10,334,Champions,2023-01-30 13:22:00,1,474.0,205.505
130.0,275,1,434.56,4,1,4,9,414,Loyal Customers,2024-12-30 23:49:00,1,,434.56
132.0,2056,1,321.61,1,1,4,6,114,Potential Loyalist,2020-02-14 02:18:00,1,,321.61
135.0,1771,1,306.07,2,1,4,7,214,Potential Loyalist,2020-11-25 17:02:00,1,,306.07
137.0,279,2,142.76,4,3,2,9,432,Loyal Customers,2024-12-26 08:30:00,1,2237.0,71.38
138.0,1114,1,40.56,3,1,1,5,311,Potential Loyalist,2022-09-13 20:55:00,1,,40.56
139.0,1406,1,108.99,2,1,2,5,212,Potential Loyalist,2021-11-25 23:30:00,1,,108.99
141.0,655,3,395.76,3,4,4,11,344,Champions,2023-12-16 06:41:00,1,885.0,131.92
142.0,1095,3,493.03,3,4,4,11,344,Champions,2022-10-02 18:25:00,1,369.0,164.34333333333333
143.0,1585,1,234.71,2,1,3,6,213,Potential Loyalist,2021-05-30 13:11:00,1,,234.71
146.0,1162,2,71.94,3,3,1,7,331,Potential Loyalist,2022-07-27 14:33:00,1,973.0,35.97
148.0,1157,1,79.4,3,1,1,5,311,Potential Loyalist,2022-08-01 00:40:00,1,,79.4
149.0,2122,1,64.54,1,1,1,3,111,At Risk,2019-12-10 17:45:00,1,,64.54
151.0,1071,1,160.03,3,1,2,6,312,Potential Loyalist,2022-10-26 13:46:00,1,,160.03
153.0,887,1,75.33,3,1,1,5,311,Potential Loyalist,2023-04-28 06:54:00,1,,75.33
154.0,2605,1,85.94,1,1,2,4,112,At Risk,2018-08-14 15:05:00,1,,85.94
155.0,1466,2,237.08999999999997,2,3,3,8,233,Loyal Customers,2021-09-26 09:41:00,1,947.0,118.54499999999999
158.0,681,1,55.67,3,1,1,5,311,Potential Loyalist,2023-11-20 21:07:00,1,,55.67
159.0,207,1,43.95,4,1,1,6,411,Potential Loyalist,2025-03-08 12:36:00,1,,43.95
161.0,1049,3,363.08000000000004,3,4,4,11,344,Champions,2022-11-17 08:03:00,1,523.0,121.02666666666669
164.0,241,2,446.34,4,3,4,11,434,Champions,2025-02-02 08:12:00,1,914.0,223.17
165.0,513,2,206.56,4,3,3,10,433,Champions,2024-05-06 06:43:00,1,1567.0,103.28
168.0,288,2,290.65999999999997,4,3,3,10,433,Champions,2024-12-17 22:17:00,1,289.0,145.32999999999998
169.0,754,2,212.13,3,3,3,9,333,Loyal Customers,2023-09-08 17:44:00,1,448.0,106.065
170.0,1437,2,403.22999999999996,2,3,4,9,234,Loyal Customers,2021-10-25 02:25:00,1,279.0,201.61499999999998
171.0,1161,2,425.29,3,3,4,10,334,Champions,2022-07-28 05:06:00,1,783.0,212.645
172.0,1940,2,66.32,1,3,1,5,131,Potential Loyalist,2020-06-09 11:54:00,1,615.0,33.16
173.0,1387,1,46.23,2,1,1,4,211,At Risk,2021-12-14 23:30:00,1,,46.23
177.0,281,1,55.63,4,1,1,6,411,Potential Loyalist,2024-12-24 03:50:00,1,,55.63
178.0,64,2,317.74,4,3,4,11,434,Champions,2025-07-29 04:36:00,0,2071.0,158.87
179.0,197,1,23.84,4,1,1,6,411,Potential Loyalist,2025-03-18 19:07:00,1,,23.84
180.0,2726,1,41.8,1,1,1,3,111,At Risk,2018-04-15 01:32:00,1,,41.8
182.0,1579,2,283.72,2,3,3,8,233,Loyal Customers,2021-06-05 12:56:00,1,995.0,141.86
184.0,1622,1,109.72,2,1,2,5,212,Potential Loyalist,2021-04-23 18:29:00,1,,109.72
187.0,2435,1,51.62,1,1,1,3,111,At Risk,2019-01-31 21:55:00,1,,51.62
191.0,276,3,334.84000000000003,4,4,4,12,444,Champions,2024-12-29 21:11:00,1,1058.0,111.61333333333334
194.0,567,1,230.02,4,1,3,8,413,Loyal Customers,2024-03-13 10:42:00,1,,230.02
197.0,1774,1,128.09,2,1,2,5,212,Potential Loyalist,2020-11-22 22:18:00,1,,128.09
199.0,196,2,121.6,4,3,2,9,432,Loyal Customers,2025-03-19 03:22:00,1,1559.0,60.8
204.0,1411,1,43.03,2,1,1,4,211,At Risk,2021-11-20 10:31:00,1,,43.03
205.0,521,1,374.63,4,1,4,9,414,Loyal Customers,2024-04-28 02:01:00,1,,374.63
206.0,1610,2,75.09,2,3,1,6,231,Potential Loyalist,2021-05-05 02:58:00,1,561.0,37.545
207.0,2275,1,406.81,1,1,4,6,114,Potential Loyalist,2019-07-10 20:08:00,1,,406.81
209.0,1690,1,80.04,2,1,1,4,211,At Risk,2021-02-14 09:19:00,1,,80.04
210.0,1344,2,257.08,2,3,3,8,233,Loyal Customers,2022-01-26 20:46:00,1,407.0,128.54
212.0,1825,1,159.41,1,1,2,4,112,At Risk,2020-10-02 09:13:00,1,,159.41
214.0,2032,1,75.85,1,1,1,3,111,At Risk,2020-03-09 11:42:00,1,,75.85
216.0,1938,2,268.35,1,3,3,7,133,Potential Loyalist,2020-06-11 19:48:00,1,109.0,134.175
218.0,1505,1,66.81,2,1,1,4,211,At Risk,2021-08-18 10:12:00,1,,66.81
221.0,22,1,248.05,4,1,3,8,413,Loyal Customers,2025-09-09 21:43:00,0,,248.05
225.0,326,1,43.76,4,1,1,6,411,Potential Loyalist,2024-11-09 18:13:00,1,,43.76
226.0,1918,1,40.23,1,1,1,3,111,At Risk,2020-07-01 05:57:00,1,,40.23
235.0,2790,1,27.77,1,1,1,3,111,At Risk,2018-02-10 15:31:00,1,,27.77
236.0,961,2,212.57,3,3,3,9,333,Loyal Customers,2023-02-13 10:36:00,1,1447.0,106.285
238.0,563,2,188.91,4,3,3,10,433,Champions,2024-03-17 13:44:00,1,934.0,94.455
241.0,880,1,86.28,3,1,2,6,312,Potential Loyalist,2023-05-05 16:07:00,1,,86.28
242.0,452,2,288.14,4,3,3,10,433,Champions,2024-07-06 07:15:00,1,64.0,144.07
244.0,1457,1,43.23,2,1,1,4,211,At Risk,2021-10-05 04:27:00,1,,43.23
246.0,183,1,31.78,4,1,1,6,411,Potential Loyalist,2025-04-01 03:00:00,1,,31.78
247.0,439,1,73.72,4,1,1,6,411,Potential Loyalist,2024-07-19 03:48:00,1,,73.72
251.0,1287,1,53.81,2,1,1,4,211,At Risk,2022-03-24 03:35:00,1,,53.81
253.0,1560,1,64.77,2,1,1,4,211,At Risk,2021-06-24 08:07:00,1,,64.77
258.0,1274,1,97.18,2,1,2,5,212,Potential Loyalist,2022-04-06 10:51:00,1,,97.18
262.0,604,1,329.07,3,1,4,8,314,Loyal Customers,2024-02-06 00:11:00,1,,329.07
265.0,1925,1,147.88,1,1,2,4,112,At Risk,2020-06-24 09:57:00,1,,147.88
267.0,2385,1,182.98,1,1,3,5,113,Potential Loyalist,2019-03-22 08:25:00,1,,182.98
270.0,156,1,254.0,4,1,3,8,413,Loyal Customers,2025-04-28 13:00:00,0,,254.0
273.0,2086,2,293.61,1,3,3,7,133,Potential Loyalist,2020-01-15 05:28:00,1,36.0,146.805
274.0,706,1,102.61,3,1,2,6,312,Potential Loyalist,2023-10-26 10:35:00,1,,102.61
276.0,788,4,501.78999999999996,3,4,4,11,344,Champions,2023-08-05 22:23:00,1,462.0,125.44749999999999
277.0,2499,1,159.9,1,1,2,4,112,At Risk,2018-11-28 05:29:00,1,,159.9
280.0,257,1,478.61,4,1,4,9,414,Loyal Customers,2025-01-17 08:22:00,1,,478.61
283.0,1300,2,442.03999999999996,2,3,4,9,234,Loyal Customers,2022-03-11 23:24:00,1,477.0,221.01999999999998
285.0,326,1,356.53,4,1,4,9,414,Loyal Customers,2024-11-09 10:41:00,1,,356.53
286.0,1608,1,236.55,2,1,3,6,213,Potential Loyalist,2021-05-07 13:32:00,1,,236.55
287.0,787,2,189.42999999999998,3,3,3,9,333,Loyal Customers,2023-08-06 01:03:00,1,1810.0,94.71499999999999
289.0,146,2,253.25,4,3,3,10,433,Champions,2025-05-08 23:43:00,0,995.0,126.625
290.0,2334,1,42.93,1,1,1,3,111,At Risk,2019-05-12 13:50:00,1,,42.93
291.0,1126,1,246.37,3,1,3,7,313,Potential Loyalist,2022-09-01 09:15:00,1,,246.37
294.0,1441,1,168.52,2,1,2,5,212,Potential Loyalist,2021-10-21 16:00:00,1,,168.52
295.0,1499,1,135.95,2,1,2,5,212,Potential Loyalist,2021-08-24 13:23:00,1,,135.95
296.0,262,2,180.49,4,3,3,10,433,Champions,2025-01-12 00:36:00,1,2048.0,90.245
297.0,1080,1,162.24,3,1,2,6,312,Potential Loyalist,2022-10-17 01:46:00,1,,162.24
301.0,2168,1,95.6,1,1,2,4,112,At Risk,2019-10-25 18:26:00,1,,95.6
302.0,972,2,147.03,3,3,2,8,332,Loyal Customers,2023-02-02 20:54:00,1,531.0,73.515
303.0,2292,1,350.5,1,1,4,6,114,Potential Loyalist,2019-06-23 03:26:00,1,,350.5
305.0,2507,1,95.56,1,1,2,4,112,At Risk,2018-11-20 05:13:00,1,,95.56
306.0,974,2,265.59000000000003,3,3,3,9,333,Loyal Customers,2023-01-31 22:28:00,1,193.0,132.79500000000002
308.0,1258,1,39.47,2,1,1,4,211,At Risk,2022-04-22 23:05:00,1,,39.47
310.0,1289,2,219.85,2,3,3,8,233,Loyal Customers,2022-03-22 05:43:00,1,1436.0,109.925
311.0,756,1,151.82,3,1,2,6,312,Potential Loyalist,2023-09-06 11:04:00,1,,151.82
314.0,1666,1,151.12,2,1,2,5,212,Potential Loyalist,2021-03-10 08:05:00,1,,151.12
315.0,1187,1,127.39,3,1,2,6,312,Potential Loyalist,2022-07-02 16:55:00,1,,127.39
317.0,236,1,52.31,4,1,1,6,411,Potential Loyalist,2025-02-07 23:37:00,1,,52.31
318.0,496,1,111.48,4,1,2,7,412,Potential Loyalist,2024-05-23 01:05:00,1,,111.48
320.0,1793,1,228.39,2,1,3,6,213,Potential Loyalist,2020-11-03 16:02:00,1,,228.39
321.0,2809,1,99.68,1,1,2,4,112,At Risk,2018-01-22 11:26:00,1,,99.68
322.0,689,3,1154.1599999999999,3,4,4,11,344,Champions,2023-11-12 23:36:00,1,433.0,384.71999999999997
324.0,1469,2,477.74,2,3,4,9,234,Loyal Customers,2021-09-23 00:48:00,1,259.0,238.87
325.0,1288,2,204.18,2,3,3,8,233,Loyal Customers,2022-03-23 09:20:00,1,1149.0,102.09
326.0,2332,1,28.5,1,1,1,3,111,At Risk,2019-05-14 06:41:00,1,,28.5
327.0,1916,1,95.22,1,1,2,4,112,At Risk,2020-07-03 08:04:00,1,,95.22
328.0,1990,1,55.62,1,1,1,3,111,At Risk,2020-04-20 19:58:00,1,,55.62
334.0,2587,1,142.04,1,1,2,4,112,At Risk,2018-09-01 18:55:00,1,,142.04
337.0,2515,1,92.58,1,1,2,4,112,At Risk,2018-11-12 12:42:00,1,,92.58
340.0,2806,1,97.07,1,1,2,4,112,At Risk,2018-01-25 13:45:00,1,,97.07
341.0,2653,1,73.15,1,1,1,3,111,At Risk,2018-06-27 20:26:00,1,,73.15
342.0,1637,1,44.03,2,1,1,4,211,At Risk,2021-04-08 21:14:00,1,,44.03
343.0,2563,1,369.34,1,1,4,6,114,Potential Loyalist,2018-09-25 12:03:00,1,,369.34
344.0,1017,1,53.97,3,1,1,5,311,Potential Loyalist,2022-12-19 16:46:00,1,,53.97
345.0,2223,1,146.91,1,1,2,4,112,At Risk,2019-08-31 10:19:00,1,,146.91
351.0,150,1,193.03,4,1,3,8,413,Loyal Customers,2025-05-04 12:40:00,0,,193.03
352.0,101,1,141.62,4,1,2,7,412,Potential Loyalist,2025-06-22 16:25:00,0,,141.62
353.0,2126,1,30.94,1,1,1,3,111,At Risk,2019-12-06 10:17:00,1,,30.94
355.0,1764,1,162.67,2,1,2,5,212,Potential Loyalist,2020-12-02 05:15:00,1,,162.67
356.0,1428,2,283.96,2,3,3,8,233,Loyal Customers,2021-11-03 21:37:00,1,1041.0,141.98
358.0,2103,1,558.44,1,1,4,6,114,Potential Loyalist,2019-12-29 05:50:00,1,,558.44
362.0,532,2,356.38,4,3,4,11,434,Champions,2024-04-17 09:01:00,1,1161.0,178.19
364.0,1554,1,68.53,2,1,1,4,211,At Risk,2021-06-30 02:38:00,1,,68.53
370.0,2515,2,404.28999999999996,1,3,4,8,134,Loyal Customers,2018-11-12 06:44:00,1,298.0,202.14499999999998
373.0,139,2,326.39,4,3,4,11,434,Champions,2025-05-15 05:56:00,0,944.0,163.195
374.0,256,2,735.33,4,3,4,11,434,Champions,2025-01-18 02:53:00,1,1832.0,367.665
376.0,1305,1,403.78,2,1,4,7,214,Potential Loyalist,2022-03-06 20:21:00,1,,403.78
378.0,2303,1,93.02,1,1,2,4,112,At Risk,2019-06-12 08:58:00,1,,93.02
380.0,909,2,68.75,3,3,1,7,331,Potential Loyalist,2023-04-06 10:09:00,1,728.0,34.375
384.0,2669,1,39.77,1,1,1,3,111,At Risk,2018-06-11 17:26:00,1,,39.77
386.0,1802,1,128.76,2,1,2,5,212,Potential Loyalist,2020-10-25 05:42:00,1,,128.76
387.0,1176,1,154.73,3,1,2,6,312,Potential Loyalist,2022-07-13 17:52:00,1,,154.73
390.0,2183,1,68.36,1,1,1,3,111,At Risk,2019-10-10 12:34:00,1,,68.36
391.0,439,2,98.3,4,3,2,9,432,Loyal Customers,2024-07-19 11:36:00,1,1892.0,49.15
392.0,276,1,248.69,4,1,3,8,413,Loyal Customers,2024-12-29 01:40:00,1,,248.69
393.0,19,2,349.84000000000003,4,3,4,11,434,Champions,2025-09-12 05:11:00,0,1576.0,174.92000000000002
397.0,995,2,230.45,3,3,3,9,333,Loyal Customers,2023-01-10 15:55:00,1,1189.0,115.225
398.0,1697,1,98.79,2,1,2,5,212,Potential Loyalist,2021-02-08 00:07:00,1,,98.79
401.0,2658,1,194.61,1,1,3,5,113,Potential Loyalist,2018-06-22 08:21:00,1,,194.61
403.0,2242,1,231.88,1,1,3,5,113,Potential Loyalist,2019-08-12 10:36:00,1,,231.88
404.0,607,1,75.84,3,1,1,5,311,Potential Loyalist,2024-02-02 14:22:00,1,,75.84
406.0,2083,1,74.37,1,1,1,3,111,At Risk,2020-01-18 01:13:00,1,,74.37
408.0,364,2,208.70999999999998,4,3,3,10,433,Champions,2024-10-02 11:34:00,1,54.0,104.35499999999999
415.0,1269,2,390.23,2,3,4,9,234,Loyal Customers,2022-04-11 10:24:00,1,849.0,195.115
416.0,2166,1,96.25,1,1,2,4,112,At Risk,2019-10-27 08:05:00,1,,96.25
417.0,1207,1,14.07,3,1,1,5,311,Potential Loyalist,2022-06-12 05:05:00,1,,14.07
420.0,1592,1,260.17,2,1,3,6,213,Potential Loyalist,2021-05-23 08:40:00,1,,260.17
422.0,1154,1,227.71,3,1,3,7,313,Potential Loyalist,2022-08-04 18:12:00,1,,227.71
423.0,550,2,843.4599999999999,4,3,4,11,434,Champions,2024-03-30 09:33:00,1,1248.0,421.72999999999996
424.0,1655,1,160.21,2,1,2,5,212,Potential Loyalist,2021-03-21 03:42:00,1,,160.21
425.0,979,1,117.19,3,1,2,6,312,Potential Loyalist,2023-01-26 00:52:00,1,,117.19
427.0,1246,2,368.05,2,3,4,9,234,Loyal Customers,2022-05-04 12:30:00,1,406.0,184.025
428.0,844,3,482.93,3,4,4,11,344,Champions,2023-06-10 21:11:00,1,919.0,160.97666666666666
430.0,2029,1,66.38,1,1,1,3,111,At Risk,2020-03-12 02:06:00,1,,66.38
431.0,2794,1,57.95,1,1,1,3,111,At Risk,2018-02-06 01:30:00,1,,57.95
432.0,2543,1,69.22,1,1,1,3,111,At Risk,2018-10-15 05:22:00,1,,69.22
433.0,2596,1,199.24,1,1,3,5,113,Potential Loyalist,2018-08-23 15:15:00,1,,199.24
434.0,2521,1,53.4,1,1,1,3,111,At Risk,2018-11-06 16:02:00,1,,53.4
438.0,910,1,119.12,3,1,2,6,312,Potential Loyalist,2023-04-05 22:28:00,1,,119.12
439.0,106,2,270.98,4,3,3,10,433,Champions,2025-06-17 02:26:00,0,1420.0,135.49
440.0,1555,1,436.12,2,1,4,7,214,Potential Loyalist,2021-06-29 19:23:00,1,,436.12
441.0,693,1,90.53,3,1,2,6,312,Potential Loyalist,2023-11-09 00:15:00,1,,90.53
444.0,1427,1,250.62,2,1,3,6,213,Potential Loyalist,2021-11-04 16:46:00,1,,250.62
450.0,1807,1,36.97,2,1,1,4,211,At Risk,2020-10-20 03:03:00,1,,36.97
452.0,646,1,27.06,3,1,1,5,311,Potential Loyalist,2023-12-25 14:26:00,1,,27.06
453.0,1105,1,43.7,3,1,1,5,311,Potential Loyalist,2022-09-23 00:30:00,1,,43.7
454.0,1647,1,56.73,2,1,1,4,211,At Risk,2021-03-29 06:28:00,1,,56.73
456.0,1334,1,39.92,2,1,1,4,211,At Risk,2022-02-05 19:00:00,1,,39.92
457.0,2192,1,171.04,1,1,3,5,113,Potential Loyalist,2019-10-01 04:58:00,1,,171.04
460.0,1561,1,63.09,2,1,1,4,211,At Risk,2021-06-23 02:43:00,1,,63.09
464.0,733,1,124.51,3,1,2,6,312,Potential Loyalist,2023-09-29 15:44:00,1,,124.51
465.0,275,3,355.06,4,4,4,12,444,Champions,2024-12-30 14:06:00,1,621.0,118.35333333333334
466.0,2627,1,118.52,1,1,2,4,112,At Risk,2018-07-23 03:58:00,1,,118.52
467.0,1432,1,270.89,2,1,3,6,213,Potential Loyalist,2021-10-30 08:17:00,1,,270.89
471.0,495,1,161.88,4,1,2,7,412,Potential Loyalist,2024-05-24 07:55:00,1,,161.88
472.0,1276,1,91.71,2,1,2,5,212,Potential Loyalist,2022-04-04 11:15:00,1,,91.71
473.0,197,3,607.18,4,4,4,12,444,Champions,2025-03-18 19:20:00,1,1249.0,202.39333333333332
477.0,1554,1,141.59,2,1,2,5,212,Potential Loyalist,2021-06-30 22:32:00,1,,141.59
478.0,2625,1,237.89,1,1,3,5,113,Potential Loyalist,2018-07-25 21:18:00,1,,237.89
480.0,878,1,189.25,3,1,3,7,313,Potential Loyalist,2023-05-07 22:29:00,1,,189.25
481.0,1788,1,131.4,2,1,2,5,212,Potential Loyalist,2020-11-08 01:21:00,1,,131.4
482.0,2071,1,272.42,1,1,3,5,113,Potential Loyalist,2020-01-30 01:33:00,1,,272.42
485.0,169,2,382.78000000000003,4,3,4,11,434,Champions,2025-04-15 03:04:00,0,441.0,191.39000000000001
486.0,2468,1,27.43,1,1,1,3,111,At Risk,2018-12-29 14:06:00,1,,27.43
487.0,1253,3,231.38,2,4,3,9,243,Loyal Customers,2022-04-27 22:37:00,1,258.0,77.12666666666667
488.0,421,2,303.53000000000003,4,3,3,10,433,Champions,2024-08-06 23:39:00,1,609.0,151.76500000000001
493.0,574,3,357.81,3,4,4,11,344,Champions,2024-03-06 06:33:00,1,875.0,119.27
494.0,124,2,448.83000000000004,4,3,4,11,434,Champions,2025-05-31 00:23:00,0,331.0,224.41500000000002
495.0,1329,1,60.25,2,1,1,4,211,At Risk,2022-02-10 13:38:00,1,,60.25
