return_id,order_id,order_item_id,return_date,return_reason_code,item_condition,processing_outcome,return_channel,refund_amount,restocking_fee
22,296,656,2022-09-19 13:49:00,late_delivery,new,restocked,mail_back,29.1,0.77
23,324,713,2021-06-09 03:27:01,late_delivery,new,restocked,mail_back,75.61,1.97
24,328,723,2018-06-27 21:37:45,damaged_in_transit,used_lightly,restocked,mail_back,45.74,0.97
25,336,742,2018-03-15 23:46:35,late_delivery,used_lightly,restocked,courier_pickup,15.03,0.29
26,357,786,2018-04-20 20:34:26,damaged_in_transit,new,resold_outlet,courier_pickup,17.53,0.38
27,376,822,2019-02-27 10:37:01,size_fit_issue,damaged,scrapped,courier_pickup,14.04,0.35
28,423,927,2021-07-23 09:21:28,faulty_item,damaged,restocked,courier_pickup,56.85,0.12
29,445,968,2019-04-26 08:16:07,damaged_in_transit,used_lightly,restocked,store_dropoff,265.98,6.7
30,446,969,2018-07-20 13:02:18,damaged_in_transit,new,scrapped,mail_back,24.05,0.24
31,469,1018,2022-08-16 14:02:03,size_fit_issue,new,restocked,store_dropoff,21.89,0.55
32,478,1035,2023-12-08 13:19:28,size_fit_issue,used_lightly,restocked,mail_back,9.63,0.23
33,481,1041,2025-01-27 20:12:58,faulty_item,used_lightly,restocked,mail_back,198.03,2.79
34,485,1050,2023-02-06 17:41:40,changed_mind,new,scrapped,courier_pickup,36.48,1.07
35,507,1100,2019-03-27 23:26:27,changed_mind,used_lightly,scrapped,courier_pickup,30.4,0.26
36,538,1168,2018-01-28 04:35:45,wrong_item_sent,new,restocked,mail_back,53.93,1.2
37,578,1254,2023-08-23 21:39:38,damaged_in_transit,new,restocked,courier_pickup,9.81,0.11
38,598,1293,2018-07-30 02:28:25,faulty_item,new,restocked,mail_back,33.18,0.26
39,609,1320,2024-04-05 00:18:40,late_delivery,damaged,resold_outlet,mail_back,24.05,0.54
40,643,1398,2021-05-14 00:19:27,late_delivery,used_lightly,scrapped,store_dropoff,40.28,0.39
41,647,1406,2022-08-15 11:39:20,damaged_in_transit,new,scrapped,mail_back,34.91,0.72
42,655,1420,2021-04-24 14:40:33,changed_mind,used_lightly,resold_outlet,store_dropoff,106.63,0.67
43,683,1472,2023-07-15 07:32:50,changed_mind,used_lightly,restocked,courier_pickup,24.09,0.02
44,691,1489,2025-02-18 07:32:39,fraudulent_claim,damaged,restocked,mail_back,117.76,1.34
45,693,1495,2023-01-12 14:19:01,fraudulent_claim,used_lightly,restocked,store_dropoff,63.43,0.71
46,721,1556,2025-10-07 14:31:19,late_delivery,used_lightly,resold_outlet,mail_back,15.35,0.16
47,724,1565,2024-01-04 06:12:41,size_fit_issue,new,resold_outlet,store_dropoff,56.72,0.59
48,742,1604,2021-06-24 06:21:19,fraudulent_claim,new,resold_outlet,mail_back,28.11,0.45
49,747,1612,2022-10-01 21:48:06,faulty_item,new,restocked,mail_back,166.1,3.41
50,755,1631,2019-08-14 16:11:18,size_fit_issue,used_lightly,restocked,mail_back,45.25,0.06
51,759,1642,2018-09-14 05:41:53,size_fit_issue,new,restocked,mail_back,116.75,2.04
52,774,1674,2019-04-24 08:20:29,fraudulent_claim,used_lightly,resold_outlet,store_dropoff,294.95,2.33
53,796,1721,2020-03-16 18:19:55,wrong_item_sent,used_lightly,restocked,mail_back,61.23,0.88
54,811,1754,2020-06-16 06:27:37,size_fit_issue,used_lightly,scrapped,mail_back,28.05,0.41
55,816,1767,2018-06-18 19:12:20,fraudulent_claim,used_lightly,restocked,store_dropoff,511.64,14.44
56,824,1781,2023-09-29 01:22:42,size_fit_issue,new,restocked,mail_back,90.21,2.05
57,867,1871,2022-10-17 09:14:11,late_delivery,new,scrapped,courier_pickup,25.05,0.53
58,885,1909,2022-01-04 04:24:03,fraudulent_claim,used_lightly,restocked,courier_pickup,121.9,1.13
59,918,1974,2023-06-08 11:25:32,size_fit_issue,new,restocked,mail_back,38.88,0.96
60,922,1981,2023-03-26 06:50:26,size_fit_issue,new,restocked,mail_back,19.5,0.56
61,937,2007,2024-04-28 12:29:40,changed_mind,used_lightly,restocked,mail_back,40.18,1.0
62,976,2077,2024-01-09 20:31:48,size_fit_issue,used_lightly,resold_outlet,mail_back,10.24,0.12
63,982,2088,2021-10-05 22:16:38,wrong_item_sent,new,restocked,courier_pickup,1055.69,23.81
64,1001,2132,2022-12-11 01:09:57,faulty_item,used_lightly,restocked,mail_back,14.49,0.03
65,1007,2145,2023-06-11 13:56:40,wrong_item_sent,used_lightly,restocked,mail_back,53.32,0.98
66,1026,2187,2019-07-22 00:42:00,changed_mind,new,restocked,store_dropoff,39.75,0.53
67,1027,2193,2020-10-06 02:14:13,changed_mind,damaged,resold_outlet,store_dropoff,45.32,1.22
68,1077,2282,2019-02-07 17:47:36,wrong_item_sent,new,restocked,mail_back,96.08,0.73
69,1079,2288,2025-07-24 19:41:25,size_fit_issue,damaged,restocked,store_dropoff,33.26,0.77
70,1086,2300,2024-03-06 16:27:35,late_delivery,new,resold_outlet,mail_back,29.88,0.51
71,1086,2301,2024-05-08 16:27:35,late_delivery,new,restocked,courier_pickup,63.53,1.26
72,1096,2324,2023-06-30 17:19:51,changed_mind,used_lightly,restocked,mail_back,20.23,0.05
73,1140,2403,2021-04-20 20:30:00,late_delivery,damaged,restocked,mail_back,29.87,0.16
74,1156,2444,2018-06-03 17:01:10,late_delivery,damaged,restocked,mail_back,76.24,0.72
75,1171,2475,2021-11-10 16:53:25,late_delivery,new,restocked,mail_back,98.98,1.33
76,1204,2537,2023-05-01 09:49:56,damaged_in_transit,new,resold_outlet,mail_back,43.07,1.29
77,1214,2560,2021-12-07 10:08:12,wrong_item_sent,new,resold_outlet,courier_pickup,20.77,0.03
78,1232,2602,2025-10-21 21:51:10,damaged_in_transit,used_lightly,scrapped,courier_pickup,140.14,3.52
79,1249,2633,2022-03-17 11:56:19,damaged_in_transit,used_lightly,restocked,courier_pickup,79.78,0.97
80,1250,2636,2021-05-04 10:53:11,faulty_item,used_lightly,restocked,mail_back,31.17,0.49
81,1258,2651,2021-10-20 00:28:12,size_fit_issue,used_lightly,scrapped,mail_back,32.7,0.6
82,1277,2696,2023-03-31 01:23:49,fraudulent_claim,damaged,scrapped,courier_pickup,22.58,0.28
83,1303,2751,2021-06-19 15:03:32,size_fit_issue,damaged,restocked,store_dropoff,22.51,0.41
84,1312,2766,2024-04-17 10:12:27,damaged_in_transit,new,scrapped,courier_pickup,22.56,0.17
85,1314,2769,2020-10-21 09:49:34,wrong_item_sent,used_lightly,scrapped,mail_back,21.6,0.05
86,1361,2871,2021-07-01 20:40:58,damaged_in_transit,new,restocked,mail_back,39.23,0.17
87,1362,2876,2018-04-21 02:43:20,wrong_item_sent,new,resold_outlet,courier_pickup,23.44,0.68
88,1393,2936,2021-09-23 04:43:55,changed_mind,new,resold_outlet,mail_back,41.45,0.14
89,1412,2972,2024-06-13 14:11:39,damaged_in_transit,used_lightly,restocked,mail_back,29.71,0.61
90,1421,2990,2024-04-03 04:39:15,size_fit_issue,used_lightly,restocked,courier_pickup,134.68,2.23
91,1425,2998,2021-03-17 10:18:43,size_fit_issue,new,resold_outlet,mail_back,35.27,0.79
92,1429,3007,2018-12-10 03:38:42,damaged_in_transit,used_lightly,scrapped,store_dropoff,35.65,0.6
93,1430,3009,2022-08-02 21:40:46,faulty_item,damaged,resold_outlet,mail_back,80.94,1.74
94,1475,3106,2024-07-20 08:03:08,changed_mind,new,resold_outlet,mail_back,83.23,1.02
95,1529,3208,2019-10-04 06:32:30,damaged_in_transit,used_lightly,restocked,courier_pickup,152.0,1.55
96,1538,3227,2019-03-04 18:50:25,wrong_item_sent,used_lightly,restocked,store_dropoff,14.73,0.22
97,1551,3259,2024-04-08 02:24:54,faulty_item,new,resold_outlet,mail_back,39.56,0.84
98,1561,3280,2023-01-18 19:31:57,changed_mind,new,restocked,mail_back,34.88,0.76
99,1575,3310,2025-10-21 13:29:26,size_fit_issue,new,restocked,courier_pickup,29.49,0.37
100,1578,3318,2024-12-28 09:15:53,size_fit_issue,damaged,scrapped,mail_back,19.95,0.42
101,1583,3330,2022-05-24 09:46:10,late_delivery,used_lightly,restocked,courier_pickup,13.55,0.0
102,1591,3343,2021-07-28 17:37:45,faulty_item,used_lightly,scrapped,mail_back,12.57,0.01
103,1610,3385,2019-06-09 04:38:02,late_delivery,new,restocked,courier_pickup,26.26,0.75
104,1618,3406,2021-01-17 01:11:02,damaged_in_transit,new,resold_outlet,mail_back,6.77,0.07
105,1624,3419,2023-09-11 12:13:26,damaged_in_transit,used_lightly,resold_outlet,mail_back,29.22,0.24
106,1648,3466,2025-08-02 10:01:02,wrong_item_sent,new,resold_outlet,mail_back,1246.1,7.31
107,1671,3515,2023-04-23 04:46:00,wrong_item_sent,new,resold_outlet,mail_back,25.17,0.55
108,1683,3546,2024-04-20 10:09:59,changed_mind,used_lightly,restocked,mail_back,38.35,0.14
109,1687,3552,2022-09-10 19:25:35,faulty_item,new,restocked,mail_back,16.52,0.2
110,1702,3588,2024-02-21 10:28:16,size_fit_issue,new,scrapped,mail_back,18.17,0.09
111,1725,3634,2023-07-21 21:43:03,damaged_in_transit,used_lightly,restocked,mail_back,15.07,0.28
112,1732,3648,2021-10-25 08:07:52,late_delivery,new,scrapped,mail_back,87.96,1.44
113,1737,3654,2025-01-11 11:56:11,wrong_item_sent,new,restocked,mail_back,44.31,1.04
114,1741,3663,2024-05-28 13:35:21,size_fit_issue,new,restocked,mail_back,22.35,0.47
115,1772,3730,2019-01-16 21:44:58,late_delivery,used_lightly,scrapped,courier_pickup,14.02,0.12
116,1782,3748,2022-04-21 06:12:36,damaged_in_transit,new,restocked,mail_back,21.15,0.08
117,1788,3763,2024-04-12 07:34:40,late_delivery,new,resold_outlet,courier_pickup,10.55,0.03
118,1813,3814,2022-02-09 00:16:14,damaged_in_transit,new,restocked,store_dropoff,46.29,0.7
119,1826,3848,2023-04-22 19:02:42,faulty_item,new,resold_outlet,mail_back,58.13,0.52
120,1846,3892,2022-12-16 03:24:44,wrong_item_sent,damaged,restocked,mail_back,63.94,1.13
121,1854,3910,2024-09-10 13:48:53,changed_mind,new,restocked,store_dropoff,30.09,0.16
122,1862,3928,2022-01-27 03:51:56,damaged_in_transit,used_lightly,restocked,courier_pickup,53.92,1.21
123,1866,3937,2020-06-17 17:32:04,changed_mind,used_lightly,restocked,mail_back,61.76,0.86
124,1869,3944,2023-10-18 01:10:43,fraudulent_claim,new,restocked,mail_back,48.03,1.44
125,1883,3974,2019-02-21 03:56:01,fraudulent_claim,new,scrapped,mail_back,32.13,0.88
126,1884,3976,2025-02-20 18:09:48,fraudulent_claim,new,scrapped,store_dropoff,90.02,2.69
127,1905,4028,2022-08-08 00:45:08,late_delivery,new,resold_outlet,mail_back,23.92,0.59
128,1935,4088,2021-08-24 10:42:04,fraudulent_claim,new,scrapped,courier_pickup,34.38,0.33
129,1962,4138,2022-04-30 04:43:35,fraudulent_claim,new,restocked,mail_back,22.5,0.65
130,1982,4179,2021-04-21 02:49:35,changed_mind,new,resold_outlet,mail_back,22.38,0.06
131,1983,4181,2018-10-18 09:32:07,wrong_item_sent,used_lightly,resold_outlet,courier_pickup,63.52,0.33
132,1994,4210,2022-09-21 19:48:42,wrong_item_sent,new,restocked,mail_back,102.75,2.23
133,2001,4221,2019-11-03 00:41:25,faulty_item,damaged,restocked,mail_back,21.75,0.6
134,2001,4223,2019-10-19 00:41:25,fraudulent_claim,used_lightly,scrapped,mail_back,24.14,0.2
135,2003,4230,2021-12-07 02:51:07,changed_mind,used_lightly,restocked,mail_back,42.66,0.25
136,2007,4238,2020-03-25 05:27:00,late_delivery,new,restocked,mail_back,7.36,0.05
137,2011,4249,2022-10-10 04:38:52,damaged_in_transit,new,restocked,courier_pickup,28.38,0.61
138,2017,4262,2023-04-08 14:47:12,damaged_in_transit,new,resold_outlet,mail_back,23.48,0.18
139,2020,4267,2020-06-22 23:40:00,late_delivery,damaged,resold_outlet,store_dropoff,12.42,0.29
140,2025,4276,2025-02-14 08:38:48,damaged_in_transit,new,restocked,mail_back,1633.14,15.27
141,2034,4297,2020-10-29 22:43:01,wrong_item_sent,used_lightly,resold_outlet,mail_back,23.86,0.01
142,2086,4399,2019-01-06 12:27:07,damaged_in_transit,new,resold_outlet,mail_back,24.53,0.25
143,2094,4415,2022-11-04 11:49:08,faulty_item,used_lightly,resold_outlet,courier_pickup,37.36,0.76
144,2097,4422,2022-08-16 19:17:12,fraudulent_claim,new,scrapped,mail_back,828.32,9.93
145,2114,4459,2021-12-06 20:24:29,damaged_in_transit,new,resold_outlet,courier_pickup,14.68,0.1
146,2116,4465,2021-04-10 01:11:10,changed_mind,new,scrapped,store_dropoff,50.58,0.71
147,2128,4496,2025-01-18 20:46:07,changed_mind,used_lightly,restocked,mail_back,27.27,0.79
148,2129,4499,2022-10-07 04:28:12,damaged_in_transit,new,restocked,mail_back,30.33,0.79
149,2130,4500,2018-06-24 16:07:31,changed_mind,new,scrapped,store_dropoff,25.53,0.42
150,2145,4528,2025-09-30 16:58:12,fraudulent_claim,new,restocked,mail_back,32.96,0.56
151,2156,4546,2019-08-22 10:42:50,size_fit_issue,used_lightly,resold_outlet,mail_back,19.56,0.49
152,2185,4609,2022-07-10 19:34:34,changed_mind,new,scrapped,mail_back,15.21,0.21
153,2191,4619,2025-02-10 05:01:02,fraudulent_claim,new,scrapped,courier_pickup,27.15,0.64
154,2212,4663,2021-10-29 20:00:02,fraudulent_claim,new,scrapped,mail_back,15.45,0.42
155,2226,4699,2024-01-10 22:40:22,fraudulent_claim,new,restocked,courier_pickup,180.42,4.03
156,2242,4730,2023-03-11 13:04:50,wrong_item_sent,new,resold_outlet,store_dropoff,23.63,0.57
157,2272,4793,2020-01-08 07:08:55,late_delivery,new,restocked,mail_back,22.59,0.44
158,2289,4838,2020-10-06 17:20:59,size_fit_issue,new,scrapped,store_dropoff,14.31,0.16
159,2307,4882,2024-04-03 06:28:43,fraudulent_claim,new,restocked,courier_pickup,21.6,0.27
160,2325,4920,2023-08-19 07:56:53,wrong_item_sent,used_lightly,restocked,store_dropoff,14.2,0.35
161,2345,4969,2025-02-17 10:34:45,changed_mind,used_lightly,restocked,mail_back,16.17,0.42
162,2346,4970,2022-04-26 02:06:56,faulty_item,new,restocked,mail_back,41.26,0.25
163,2346,4972,2022-02-17 02:06:56,late_delivery,new,restocked,mail_back,15.86,0.04
164,2351,4980,2022-10-05 01:12:27,damaged_in_transit,new,restocked,store_dropoff,16.73,0.13
165,2356,4989,2025-05-06 04:28:27,faulty_item,new,restocked,mail_back,25.51,0.32
166,2376,5040,2024-06-05 18:11:09,size_fit_issue,new,restocked,mail_back,187.01,0.21
167,2377,5045,2024-02-07 08:15:01,late_delivery,new,restocked,store_dropoff,25.3,0.49
168,2386,5064,2020-09-14 21:58:47,faulty_item,new,resold_outlet,mail_back,19.01,0.55
169,2466,5217,2025-06-18 05:51:54,changed_mind,used_lightly,scrapped,courier_pickup,28.05,0.81
170,2469,5222,2021-11-04 13:35:13,changed_mind,damaged,restocked,mail_back,61.81,0.13
171,2495,5277,2022-09-06 13:34:50,wrong_item_sent,used_lightly,resold_outlet,courier_pickup,72.18,0.99
172,2514,5318,2018-03-25 20:07:34,size_fit_issue,used_lightly,scrapped,courier_pickup,21.78,0.17
173,2521,5335,2023-05-18 15:22:06,faulty_item,new,scrapped,courier_pickup,20.29,0.12
174,2522,5338,2024-09-05 08:01:43,late_delivery,used_lightly,restocked,mail_back,13.84,0.32
175,2525,5344,2025-02-03 03:17:41,fraudulent_claim,damaged,restocked,mail_back,50.18,1.06
176,2525,5346,2025-01-19 03:17:41,changed_mind,new,resold_outlet,courier_pickup,17.74,0.29
177,2541,5377,2023-06-18 08:11:25,faulty_item,new,restocked,mail_back,18.5,0.1
178,2543,5382,2025-04-18 20:23:06,damaged_in_transit,used_lightly,restocked,mail_back,150.28,1.53
179,2547,5389,2022-08-07 14:26:46,changed_mind,used_lightly,restocked,mail_back,50.29,0.96
180,2559,5415,2020-01-30 09:27:20,damaged_in_transit,new,restocked,store_dropoff,42.45,0.95
181,2562,5419,2021-08-23 04:45:24,late_delivery,used_lightly,restocked,mail_back,62.47,0.87
182,2568,5432,2022-01-21 07:32:59,wrong_item_sent,used_lightly,scrapped,mail_back,274.26,1.57
183,2607,5510,2023-09-12 22:49:18,late_delivery,new,restocked,store_dropoff,37.35,0.67
184,2614,5520,2025-07-19 15:53:04,fraudulent_claim,new,restocked,mail_back,27.77,0.2
185,2620,5531,2024-05-29 17:57:27,wrong_item_sent,new,restocked,mail_back,120.63,0.34
186,2639,5572,2024-04-08 01:51:31,late_delivery,damaged,restocked,courier_pickup,27.9,0.22
187,2668,5637,2023-11-05 21:17:37,fraudulent_claim,new,restocked,mail_back,35.21,1.05
188,2668,5640,2023-10-28 21:17:37,damaged_in_transit,new,restocked,mail_back,36.61,0.8
189,2678,5665,2023-09-10 19:54:58,faulty_item,used_lightly,restocked,mail_back,112.12,0.6
190,2682,5672,2019-12-22 11:49:33,changed_mind,damaged,resold_outlet,mail_back,386.47,1.4
191,2712,5731,2020-12-12 23:32:51,faulty_item,used_lightly,restocked,mail_back,12.07,0.3
192,2714,5734,2021-05-09 16:55:26,size_fit_issue,used_lightly,restocked,store_dropoff,35.13,0.21
193,2717,5741,2021-03-13 12:58:42,faulty_item,used_lightly,resold_outlet,mail_back,29.38,0.74
194,2726,5759,2018-03-14 16:10:01,faulty_item,used_lightly,resold_outlet,mail_back,31.02,0.26
195,2741,5791,2022-03-06 05:30:29,faulty_item,new,restocked,mail_back,49.28,0.93
196,2760,5827,2018-08-06 22:43:21,wrong_item_sent,new,resold_outlet,mail_back,28.96,0.46
197,2762,5830,2021-08-01 02:34:37,damaged_in_transit,used_lightly,restocked,mail_back,22.24,0.42
198,2783,5869,2019-03-24 12:04:30,damaged_in_transit,new,restocked,mail_back,40.47,0.99
199,2787,5878,2018-06-13 09:56:35,wrong_item_sent,new,scrapped,mail_back,30.43,0.83
200,2801,5913,2025-02-16 12:59:58,wrong_item_sent,used_lightly,restocked,courier_pickup,29.08,0.57
201,2801,5915,2025-02-15 12:59:58,size_fit_issue,used_lightly,restocked,store_dropoff,10.86,0.31
202,2822,5965,2023-11-09 11:21:19,wrong_item_sent,used_lightly,restocked,courier_pickup,19.36,0.47
203,2823,5968,2022-08-11 09:46:53,wrong_item_sent,used_lightly,restocked,store_dropoff,17.16,0.04
204,2837,6002,2022-01-26 21:54:50,changed_mind,new,scrapped,mail_back,14.72,0.2
205,2844,6014,2021-10-20 22:40:01,late_delivery,used_lightly,restocked,mail_back,16.37,0.27
206,2862,6051,2025-01-13 07:49:48,fraudulent_claim,new,restocked,mail_back,25.73,0.5
207,2874,6079,2024-03-26 07:23:05,fraudulent_claim,new,restocked,mail_back,23.73,0.01
208,2892,6114,2024-03-08 15:41:17,changed_mind,used_lightly,restocked,mail_back,16.43,0.26
209,2909,6143,2025-04-10 22:37:52,size_fit_issue,damaged,scrapped,store_dropoff,24.28,0.55
210,2913,6151,2020-05-25 12:38:01,size_fit_issue,used_lightly,resold_outlet,courier_pickup,28.08,0.1
211,2914,6157,2019-07-19 16:37:47,size_fit_issue,new,restocked,mail_back,29.1,0.48
212,2944,6215,2023-04-28 15:20:55,changed_mind,new,restocked,store_dropoff,38.66,0.82
213,2969,6267,2020-09-16 05:14:55,damaged_in_transit,damaged,restocked,courier_pickup,67.19,0.17
214,2970,6268,2022-04-03 07:47:46,wrong_item_sent,new,restocked,mail_back,35.86,0.93
215,2980,6286,2020-02-10 18:48:29,late_delivery,new,restocked,courier_pickup,54.91,0.8
216,3006,6329,2025-09-01 18:39:14,changed_mind,new,resold_outlet,mail_back,28.06,0.46
217,3031,6371,2021-01-21 13:31:13,wrong_item_sent,new,restocked,mail_back,66.08,1.31
218,3064,6436,2019-07-01 10:33:27,wrong_item_sent,used_lightly,restocked,mail_back,88.15,1.94
219,3088,6488,2019-07-12 00:02:22,size_fit_issue,used_lightly,restocked,courier_pickup,16.13,0.12
220,3094,6500,2020-05-13 09:21:58,late_delivery,used_lightly,restocked,mail_back,20.06,0.2
221,3100,6512,2021-10-27 05:06:45,faulty_item,used_lightly,resold_outlet,mail_back,119.75,1.62
222,3108,6528,2019-12-11 02:15:09,size_fit_issue,new,restocked,courier_pickup,43.32,0.49
223,3125,6569,2020-11-02 10:05:13,faulty_item,new,restocked,courier_pickup,23.85,0.56
224,3125,6570,2020-11-07 10:05:13,wrong_item_sent,new,restocked,mail_back,129.87,3.63
225,3137,6596,2019-09-20 17:26:53,wrong_item_sent,new,restocked,mail_back,35.58,0.21
226,3152,6626,2018-01-25 06:17:48,fraudulent_claim,new,restocked,store_dropoff,39.32,0.28
227,3153,6628,2021-01-29 10:56:01,fraudulent_claim,new,resold_outlet,mail_back,8.57,0.02
228,3154,6631,2023-02-03 07:01:24,size_fit_issue,new,restocked,store_dropoff,42.26,0.7
229,3158,6642,2019-09-12 09:11:12,damaged_in_transit,new,restocked,store_dropoff,41.49,0.76
230,3172,6666,2023-03-31 11:28:27,size_fit_issue,new,restocked,mail_back,1180.73,3.25
231,3185,6689,2022-05-02 17:56:08,wrong_item_sent,new,restocked,courier_pickup,94.2,0.92
232,3201,6721,2019-03-02 11:28:49,size_fit_issue,new,restocked,courier_pickup,21.66,0.3
233,3210,6743,2018-10-26 04:59:44,size_fit_issue,damaged,scrapped,store_dropoff,59.84,0.92
234,3212,6752,2025-01-26 14:38:58,changed_mind,new,restocked,mail_back,17.18,0.03
235,3253,6831,2024-11-09 11:25:56,late_delivery,used_lightly,scrapped,mail_back,19.98,0.49
236,3282,6882,2024-02-05 16:20:12,changed_mind,new,scrapped,mail_back,23.5,0.52
237,3299,6928,2020-07-30 20:31:58,damaged_in_transit,new,restocked,mail_back,32.49,0.34
238,3307,6941,2018-05-02 09:42:10,changed_mind,used_lightly,resold_outlet,mail_back,21.73,0.11
239,3308,6943,2022-03-20 22:36:23,damaged_in_transit,new,restocked,mail_back,11.01,0.31
240,3312,6954,2024-01-31 23:22:26,late_delivery,new,restocked,mail_back,24.09,0.52
241,3334,7006,2020-06-07 21:12:34,fraudulent_claim,new,restocked,mail_back,21.51,0.48
242,3337,7013,2022-01-15 00:49:50,faulty_item,new,restocked,mail_back,16.99,0.1
243,3344,7026,2020-06-02 15:45:06,faulty_item,new,scrapped,mail_back,23.46,0.05
244,3345,7027,2019-06-17 10:32:28,fraudulent_claim,used_lightly,restocked,courier_pickup,18.1,0.17
245,3376,7088,2022-11-26 15:51:02,wrong_item_sent,new,restocked,store_dropoff,100.36,2.56
246,3389,7108,2018-02-05 14:38:04,fraudulent_claim,new,restocked,mail_back,11.92,0.1
247,3390,7112,2023-03-24 16:37:24,fraudulent_claim,used_lightly,restocked,store_dropoff,20.23,0.34
248,3400,7132,2024-05-28 03:02:31,wrong_item_sent,used_lightly,restocked,mail_back,43.15,0.04
249,3452,7234,2019-11-30 13:46:35,faulty_item,used_lightly,restocked,store_dropoff,50.17,1.17
250,3460,7251,2020-05-02 15:37:26,changed_mind,damaged,resold_outlet,mail_back,17.52,0.18
251,3493,7326,2022-11-08 11:28:28,fraudulent_claim,used_lightly,resold_outlet,courier_pickup,20.97,0.11
252,3496,7336,2020-04-27 20:14:55,fraudulent_claim,new,resold_outlet,courier_pickup,36.61,0.41
253,3520,7380,2018-05-22 14:04:34,changed_mind,new,resold_outlet,mail_back,30.87,0.08
254,3520,7381,2018-05-19 14:04:34,size_fit_issue,new,restocked,courier_pickup,66.12,1.93
255,3532,7405,2025-01-01 07:52:35,changed_mind,used_lightly,restocked,mail_back,18.21,0.12
256,3539,7420,2022-03-13 01:08:42,wrong_item_sent,used_lightly,scrapped,courier_pickup,33.37,0.99
257,3582,7498,2023-10-21 05:51:29,faulty_item,new,restocked,mail_back,43.46,0.32
258,3589,7510,2019-01-18 21:39:59,fraudulent_claim,new,resold_outlet,mail_back,34.57,0.42
259,3592,7518,2022-04-12 07:38:32,faulty_item,used_lightly,resold_outlet,mail_back,55.56,1.0
260,3608,7551,2019-06-26 20:40:06,changed_mind,used_lightly,scrapped,mail_back,43.3,1.28
261,3628,7587,2021-06-07 22:27:08,wrong_item_sent,new,restocked,mail_back,31.5,0.18
262,3644,7624,2022-08-12 15:46:14,size_fit_issue,new,restocked,mail_back,23.11,0.51
263,3654,7646,2024-02-06 17:46:52,damaged_in_transit,new,resold_outlet,mail_back,28.73,0.44
264,3676,7690,2019-01-22 18:11:24,damaged_in_transit,new,resold_outlet,courier_pickup,12.06,0.2
265,3684,7704,2020-05-19 08:16:44,changed_mind,new,restocked,mail_back,30.7,0.41
266,3690,7719,2024-11-20 22:42:34,faulty_item,new,resold_outlet,mail_back,13.25,0.0
267,3699,7739,2023-04-02 13:14:57,damaged_in_transit,new,resold_outlet,store_dropoff,32.89,0.07
268,3709,7763,2024-09-09 19:46:04,faulty_item,new,restocked,courier_pickup,35.61,0.19
269,3727,7809,2018-07-19 13:19:42,faulty_item,new,scrapped,mail_back,49.51,0.04
270,3736,7826,2024-03-14 21:50:42,damaged_in_transit,new,scrapped,courier_pickup,25.69,0.38
271,3742,7842,2021-03-04 19:39:44,changed_mind,used_lightly,scrapped,courier_pickup,27.46,0.65
272,3769,7905,2018-09-12 22:54:39,changed_mind,new,resold_outlet,courier_pickup,31.24,0.93
273,3789,7945,2021-10-18 16:20:57,fraudulent_claim,new,restocked,mail_back,30.99,0.18
274,3793,7955,2019-03-04 14:47:27,changed_mind,used_lightly,restocked,store_dropoff,28.17,0.81
